Page,Order,Town_or_City,DHCD_ID,Project_Name,Address,Type,Total_SHI_Units,Affordability_Expires,Built_with_Comp_Permit,Subsidizing_Agency
476,10,North Attleborough,9411,Dexter St,13 Dexter St,Ownership,4,Perp,YES,FHLBB
477,1,North Brookfield,2256,Herard Lane Estates,271 Main St.,Rental,64,Perp,Yes,DHCD
477,2,North Brookfield,2257,Grove Street Apartments,24 Grove St.,Rental,14,Perp,Yes,DHCD
477,3,North Brookfield,2258,Elm Meadow,Elm Street,Ownership,32,2029-2030,Yes,DHCD
477,4,North Brookfield,2259,Hillside Meadows,67 Ward St.,Rental,24,2021*,No,HUD
477,5,North Brookfield,4398,DDS Group Homes,Confidential,Rental,8,N/A,No,DDS
478,1,North Reading,2260,n/a,Peabody Court,Rental,40,Perp,No,DHCD
478,2,North Reading,2261,n/a,53 Swan Pond Rd.,Rental,4,Perp,YES,DHCD
478,3,North Reading,2262,Fairview Terrace Estates,Fairway Road,Ownership,3,2039,Yes,DHCD
478,4,North Reading,2263,McLaughlin House,333 Park Street,Rental,8,2041,No,"FHLBB, HUD"
478,5,North Reading,4399,DDS Group Homes,Confidential,Rental,51,N/A,No,DDS
478,6,North Reading,7165,Rowe Farm,193 Elm Street,Ownership,7,perp,Yes,MassHousing
478,7,North Reading,7893,Central Place,63 Central Street,Ownership,7,2104,YES,MassHousing
478,8,North Reading,7894,Edgewater Place,1-8 Pilgrim Rd,Ownership,4,perp,YES,MassHousing
478,9,North Reading,7895,Mount Vernon,50 Mt Vernon St,Ownership,9,perp,YES,MassHousing
478,10,North Reading,9060,Residences at Martin Brook,100 Lowell Road,Rental,406,2038,NO,DHCD
478,11,North Reading,9764,Bradford Pond Estates,153 Marblehead Street,Ownership,1,Perp,NO,DHCD
479,1,Northampton,2264,Florence Heights,178 Florence Road,Rental,49,Perp,No,HUD
479,2,Northampton,2265,MacDonald House,49 Old South St,Rental,60,Perp,No,HUD
479,3,Northampton,2266,Hampshire Heights,241 Jackson St.,Rental,80,Perp,No,DHCD
479,4,Northampton,2267,Cahill Apartments,35 Fruit Street,Rental,64,Perp,No,DHCD
479,5,Northampton,2268,Forsander Apartments,137 High St,Rental,72,Perp,No,DHCD
479,6,Northampton,2269,Salvo House,81 Conz Street,Rental,192,Perp,No,DHCD
479,7,Northampton,2270,State Street House,256 State Street,Rental,6,Perp,No,DHCD
479,8,Northampton,2271,Tobin Manor,56 Maple St.; Florence St,Rental,49,Perp,No,DHCD
479,9,Northampton,2272,Bridge Street House,96 Bridge St.,Rental,7,Perp,No,DHCD
479,10,Northampton,2274,n/a,scattered sites,Rental,8,Perp,No,DHCD
479,11,Northampton,2275,Millbank I,79 Michelman Ave.,Rental,4,Perp,No,DHCD
479,12,Northampton,2276,Earle Street,Earle Street,Rental,15,2037,No,"MHP, DHCD, HUD"
480,1,Northampton,2277,Florence Inn,17 North Maple St,Rental,14,2025,No,"DHCD, FHLBB"
480,2,Northampton,2278,Hampshire Inn,82 Bridge Street,Rental,8,2099,No,"NA, DHCD, DHCD"
480,3,Northampton,2279,Hampton Court,125 Pleasant St.,Rental,77,2025,No,"DHCD, DHCD, DHCD"
480,4,Northampton,2280,Hathaway Farms,73 Barrett St.,Rental,42,2019,No,"DHCD, MassHousing"
480,5,Northampton,2282,Leeds Village Apts,Main St.,Rental,19,3/1/18,No,MassHousing
480,6,Northampton,2283,Meadowbrook Apts,491 Bridge Rd.,Rental,252,2034,No,"MassHousing, MassHousing"
480,7,Northampton,2284,Valley Commun. Dev,End of Michelman Ave.,Rental,24,2032,No,"NA, DHCD"
481,1,Northampton,2284,Valley Commun. Dev,End of Michelman Ave.,Rental,24,2032,No,"HUD, MassHousing"
481,2,Northampton,2285,Pine's Edge,Pine's Edge Drive,Ownership,8,2031,YES,DHCD
481,3,Northampton,2287,St. Michael's House,71 State St/40 Stoddard St.,Rental,86,2032,No,MassHousing
481,4,Northampton,3805,The Lorraine,96 Pleasant St,Rental,20,2030,No,DHCD
481,5,Northampton,3924,Go West SRO,1-3 North Main Street,Rental,17,2035,No,"DHCD, DHCD, DHCD"
481,6,Northampton,3973,Village at Hospital Hill-Phase I,[Northampton State Hospital site],Rental,33,2034,No,"DHCD, DHCD, DHCD, DHCD"
481,7,Northampton,3974,Ice Pond Lane,[Northampton State Hospital site],Mix,8,2103,No,"DHCD, HUD, DHCD"
482,1,Northampton,4400,DDS Group Homes,Confidential,Rental,15,N/A,No,DDS
482,2,Northampton,7598,DMH Group Homes,Confidential,Rental,20,n/a,No,DMH
482,3,Northampton,8735,New South St Apartments,22-34 New South St,Rental,18,2027,NO,"DHCD, HUD"
482,4,Northampton,9048,Westhampton Road,840 Westhampton Road,Ownership,6,2057,YES,HUD
482,5,Northampton,9375,Garfield Ave,Garfield Ave,Ownership,6,Perp,YES,DHCD
482,6,Northampton,9431,Mary McColgan Apartments,122 Grove St,Rental,6,perp,NO,DHCD
482,7,Northampton,9757,46-48 School Street,46-48 School Street,Rental,8,2106,NO,DHCD
482,8,Northampton,9803,Christopher Heights,Village Hill Road,NA,83,TBD,NO,DHCD
483,1,Northborough,2290,n/a,152 E. Main Street,Rental,8,Perp,Yes,DHCD
483,2,Northborough,2291,Colonial Village,26 Village Dr.,Rental,72,Perp,No,DHCD
483,3,Northborough,2292,Heritage Village,3 Center Dr.,Rental,32,Perp,No,DHCD
483,4,Northborough,2293,n/a,Scattered,Rental,6,Perp,No,DHCD
483,5,Northborough,2294,n/a,Crestwood Drive & Otis St,Rental,8,Perp,No,DHCD
483,6,Northborough,2295,Intervale Farm,1-36 Intervale Farm Road,Ownership,9,Perp,Yes,DHCD
483,7,Northborough,2296,The Bridge House,59 Main St.,Rental,8,2022,No,HUD
483,8,Northborough,2297,The Village at Smith Pond,1-24 Hitching Post Lane,Ownership,6,Perp,Yes,DHCD
483,9,Northborough,2298,Rutland Road,Rutland Road,Rental,12,Perp,No,DHCD
483,10,Northborough,3925,Sunnyside Estates,Brookside Lane (off of South St),Ownership,4,perp,Yes,FHLBB
483,11,Northborough,4401,DDS Group Homes,Confidential,NA,22,N/A,No,DDS
483,12,Northborough,4593,DMH Group Homes,Confidential,Rental,8,N/A,No,DMH
483,13,Northborough,7881,59 Hudson St,59 Hudson St,Ownership,4,perp,NO,DHCD
483,14,Northborough,7922,Church Street Village,Church St,Ownership,9,perp,YES,MassHousing
484,1,Northborough,7923,Avalon Bay Northborough,Southwest Cutoff (Rt 20),Rental,382,perp,YES,DHCD
484,2,Northborough,7924,Dunia Gardens,239 Hudson St,Ownership,7,perp,YES,MassHousing
484,3,Northborough,10120,Centre Drive,Centre Drive,Rental,4,Perp,NO,DHCD
485,1,Northbridge,2299,n/a,Colonial Dr.,Rental,44,Perp,No,DHCD
485,2,Northbridge,2300,n/a,99 Sutton St.,Rental,10,Perp,No,DHCD
485,3,Northbridge,2301,Lake Terrace,Lake St.,Rental,32,Perp,No,DHCD
485,4,Northbridge,2302,Cotton Mill Apts,17&23 Douglas Rd; 10 Linwood Ave.,Rental,55,2017,No,MassHousing
485,5,Northbridge,2303,Foundations Project,49-59 D Street,Rental,6,2097,No,"DHCD, HUD"
485,6,Northbridge,2304,Rockdale Apts,Scattered sites,Rental,65,2033,No,"DHCD, DHCD, MHP"
485,7,Northbridge,2305,Rockdale Common,"4-6,12-14,18-20 McBride St, 37-47 Taft St.",Rental,40,7/31/16,No,MassHousing
485,8,Northbridge,2306,Rockdale House,63 School St.,Rental,40,2027,No,HUD
485,9,Northbridge,2307,"Whitinsville Retirement Elderly, Housing",2 Chestnut St.,Rental,24,perp,Yes,HUDxRHS
485,10,Northbridge,2308,Woodland Heights,Wallen Way (aka South Main St),Ownership,30,-,No,DHCD
486,1,Northbridge,4402,DDS Group Homes,Confidential,NA,15,N/A,No,DDS
486,2,Northbridge,8522,Northbridge HOR Program,C Street,Ownership,1,2020,NO,DHCD
486,3,Northbridge,8523,Northbridge HOR Program,C Street,Rental,1,2020,NO,DHCD
486,4,Northbridge,8524,Northbridge HOR Program,C Street,Rental,1,2020,NO,DHCD
486,5,Northbridge,8525,Northbridge HOR Program,C Street,Rental,1,2020,NO,DHCD
486,6,Northbridge,8526,Northbridge HOR Program,C Street,Rental,1,2020,NO,DHCD
486,7,Northbridge,8527,Northbridge HOR Program,C Street,Rental,1,2020,NO,DHCD
486,8,Northbridge,8528,Northbridge HOR Program,Church Ave,Ownership,1,2020,NO,DHCD
486,9,Northbridge,8529,Northbridge HOR Program,Church St,Rental,1,2020,NO,DHCD
486,10,Northbridge,8530,Northbridge HOR Program,Church St,Rental,1,2020,NO,DHCD
486,11,Northbridge,8531,Northbridge HOR Program,Cooper Rd,Ownership,2,2020,NO,DHCD
486,12,Northbridge,8532,Northbridge HOR Program,C Street,Rental,6,2021,NO,DHCD
486,13,Northbridge,9509,Linwood Mill Apartments,670 Linwood Ave,Rental,75,2063,NO,"DHCD, MassHousing"
488,1,Northfield,2309,Squagheag Village,88 Main St.,Rental,21,Perp,No,DHCD
488,2,Northfield,2310,n/a,90 Main St.,Rental,6,Perp,No,DHCD
488,3,Northfield,4403,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
489,1,Norton,2312,n/a,120 W. Main St.,Rental,50,Perp,No,DHCD
489,2,Norton,2313,Woodland Meadows,120 W. Main St.,Rental,80,Perp,No,DHCD
489,3,Norton,2314,n/a,Jacob's Way,Rental,14,Perp,Yes,DHCD
489,4,Norton,2315,Elim Housing,156 Taunton Ave,Rental,24,2036,No,RHS
489,5,Norton,2316,Lincoln Street,Lincoln Street,Rental,4,2029,No,EOHHS
489,6,Norton,2317,Norton Glen,1 Norton Glen Road,Rental,150,2033*,No,MassHousing
489,7,Norton,3728,South Worcester Street,South Worcester Street,Ownership,3,perp,No,DHCD
489,8,Norton,3926,Woodland Green,Goldenwood Drive,Ownership,12,2101,Yes,FHLBB
489,9,Norton,4404,DDS Group Homes,Confidential,Rental,50,N/A,No,DDS
489,10,Norton,6732,Arrowhead Village,North Washington Street & Arrowhead Drive,Ownership,9,perp,Yes,MassHousing
489,11,Norton,6781,Strawberry Fields,South Worcester Street,Ownership,0,2104,Yes,FHLBB
489,12,Norton,7876,Woodlark Condominiums,Woodlark Drive,Ownership,2,perp,NO,DHCD
489,13,Norton,8873,Turtle Crossing,127-129 Newland St,Rental,0,perp,YES,DHCD
489,14,Norton,8874,Bay Road Heights,Bay Road,Ownership,0,perp,YES,MassHousing
490,1,Norton,8874,Bay Road Heights,Bay Road,Ownership,0,perp,YES,MassHousing
490,2,Norton,8986,Barrows Street,Barrows Street,Rental,1,perp,NO,LIP
490,3,Norton,9673,"Norton Apartments/274 East Main, Street",274 East Main Street,Rental,188,Perp,YES,MHP
490,4,Norton,10189,Oak Street,141 & 143 Oak Street,Ownership,2,Perp,NO,DHCD
490,5,Norton,10268,DMH Group Homes,Confidential,Rental,6,N/A,NO,DMH
491,1,Norwell,2318,Norwell Gardens,399 Washington St.,Rental,80,Perp,Yes,DHCD
491,2,Norwell,2319,n/a,27 Assinippi Ave.,Rental,8,Perp,No,DHCD
491,3,Norwell,2320,n/a,Washington St.,Rental,8,Perp,No,DHCD
491,4,Norwell,2321,West End Way,West End Way Lot,Ownership,1,Perp,Yes,DHCD
491,5,Norwell,3814,Washington Place,239 Washington St,Ownership,6,Perp,Yes,FHLBB
491,6,Norwell,3815,Jacobs Pond Estate,19 Assinippi Avenue,Ownership,11,2098,Yes,FHLLB
491,7,Norwell,3816,Silver Brook Farm,South Street,Ownership,7,2098,Yes,FHLBB
491,8,Norwell,4405,DDS Group Homes,Confidential,Rental,30,N/A,No,DDS
491,9,Norwell,8981,White Barn Lane,White Barn Lane,Ownership,0,perp*,YES,MassHousing
491,10,Norwell,9076,Damon Farms,Washington St,Ownership,1,Perp,YES,"NA, MassHousing"
491,11,Norwell,9655,Simon Hill,Off Prospect St,Rental,126,Perp,YES,MassHousing
491,12,Norwell,9672,Circuit Street,Circuit Street,Ownership,1,Perp,NO,DHCD
491,13,Norwell,10171,40 River Street,40 River Street,Rental,18,Perp,YES,DHCD
493,1,Norwood,2322,Brookview Village,Brookview Circle,Rental,96,Perp,No,HUD
493,2,Norwood,2323,Washington Heights,Roosevelt Ave & Jefferson Dr,Rental,75,Perp,No,DHCD
493,3,Norwood,2324,Frank L. Walsh Housing,40 William Shyne Circle,Rental,72,Perp,No,DHCD
493,4,Norwood,2325,Nahatan Village,Nahatan Street,Rental,72,Perp,No,DHCD
493,5,Norwood,2326,Nahatan Village,Nahatan St,Rental,80,Perp,No,DHCD
493,6,Norwood,2327,Willow Wood Terrace,Adams St/Railroad/Willow,Rental,50,Perp,No,DHCD
493,7,Norwood,2328,Willow Wood Terrace,Hill St.,Rental,36,Perp,No,DHCD
493,8,Norwood,2329,13 St. George St.,13 St. George St.,Rental,9,2022,No,HUD
493,9,Norwood,2330,18 Clapboardtree St.,18 Clapboardtree St.,Rental,13,2027,No,HUD
493,10,Norwood,2331,Olde Derby Village,Wilson & Walpole St.,Rental,139,Perp,Yes,DHCD
493,11,Norwood,4406,DDS Group Homes,Confidential,Rental,70,N/A,No,DDS
493,12,Norwood,7195,911 Washington Street Condos,909-911 Washington Street,Ownership,2,perp,No,DHCD
493,13,Norwood,7648,The Condos at Lenox Station,Lenox Street,Ownership,5,2056*,No,DHCD
493,14,Norwood,8993,Saint George Avenue,27 St. James Ave,Ownership,3,perp,NO,DHCD
494,1,Norwood,9636,Upland Woods,400 Upland Road,Rental,262,Perp,YES,MHP
494,2,Norwood,9669,1021 Washington Street,1021 Washington Street,Rental,6,2022,NO,DHCD
494,3,Norwood,9852,Regal Lofts,129 Guild Street,Rental,40,perp,NO,DHCD
494,4,Norwood,10244,Avalon Norwood,"150-158, 165 Lenox St",Rental,198,Perp,YES,MHP
495,1,Oak Bluffs,2332,Lagoon Heights,Forest Ave.,Rental,8,Perp,No,DHCD
495,2,Oak Bluffs,2333,Woodside Village I,50 Village Rd.,Rental,45,2034,No,HUD
495,3,Oak Bluffs,3928,Woodside Village II,60A Village Rd,Rental,18,2041,Yes,HUD
495,4,Oak Bluffs,3929,Woodside Village III,60B Village Rd,Rental,9,2042,Yes,HUD
495,5,Oak Bluffs,3959,Aidylberg I,Wing Road,Rental,5,perp,Yes,HUD
495,6,Oak Bluffs,3960,Aidylberg II,Wing Road,Rental,5,perp,Yes,"DHCD, HUD"
495,7,Oak Bluffs,3961,Woodside Village VI,Old Holmes Hole Road,Rental,9,perp,Yes,"DHCD, HUD"
495,8,Oak Bluffs,3962,Woodside Village V,Old Holmes Hole Road,Rental,5,perp,Yes,HUD
495,9,Oak Bluffs,3963,Woodside Village IV,50 Village Road,Rental,9,perp,Yes,HUD
495,10,Oak Bluffs,4168,Oak Bluffs HOR Program,Pinewood Lane,Ownership,1,10/17/17,No,DHCD
495,11,Oak Bluffs,4169,Oak Bluffs HOR Program,Wamsutta Avenue,Ownership,1,11/5/17,No,DHCD
495,12,Oak Bluffs,4170,Oak Bluffs HOR Program,Wing Road,Ownership,1,11/7/17,No,DHCD
496,1,Oak Bluffs,4171,Oak Bluffs HOR Program,Roberts Way,Ownership,1,11/7/17,No,DHCD
496,2,Oak Bluffs,4172,Oak Bluffs HOR Program,Glenwood Avenue,Ownership,1,1/10/18,No,DHCD
496,3,Oak Bluffs,4173,Oak Bluffs HOR Program,Mountain Avenue,Ownership,1,2/14/18,No,DHCD
496,4,Oak Bluffs,4174,Oak Bluffs HOR Program,Chapman Avenue,Ownership,1,4/11/18,No,DHCD
496,5,Oak Bluffs,4407,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
496,6,Oak Bluffs,6328,Oak Bluffs HOR Program,Pine Street,Ownership,1,11/7/17,No,DHCD
496,7,Oak Bluffs,6329,Oak Bluffs HOR Program,Fairwood Street,Ownership,1,8/30/18,No,DHCD
496,8,Oak Bluffs,6330,Oak Bluffs HOR Program,Clinton Avenue,Ownership,1,9/30/18,No,DHCD
496,9,Oak Bluffs,6331,Oak Bluffs HOR Program,County Road,Ownership,1,12/1/18,No,DHCD
496,10,Oak Bluffs,6332,Oak Bluffs HOR Program,Washington Street,Ownership,1,12/30/18,No,DHCD
496,11,Oak Bluffs,6333,Oak Bluffs HOR Program,North Meadow Lane,Ownership,1,2/3/19,No,DHCD
496,12,Oak Bluffs,6334,Oak Bluffs HOR Program,Dukes County,Ownership,1,3/30/19,No,DHCD
496,13,Oak Bluffs,6335,Oak Bluffs HOR Program,Captains Court,Ownership,1,4/13/19,No,DHCD
496,14,Oak Bluffs,6336,Oak Bluffs HOR Program,Elmwood Avenue,Ownership,1,6/15/19,No,DHCD
497,1,Oak Bluffs,6337,Oak Bluffs HOR Program,Forest Hill,Ownership,1,8/3/19,No,DHCD
497,2,Oak Bluffs,6338,Oak Bluffs HOR Program,DeBettencourt Circle,Ownership,1,8/3/19,No,DHCD
497,3,Oak Bluffs,6339,Oak Bluffs HOR Program,Townitucket Road,Ownership,1,10/26/19,No,DHCD
497,4,Oak Bluffs,6340,Oak Bluffs HOR Program,Ryans Way,Ownership,1,11/16/19,No,DHCD
497,5,Oak Bluffs,6341,Oak Bluffs HOR Program,Narragansett Road,Ownership,1,12/1/19,No,DHCD
497,6,Oak Bluffs,7599,DMH Group Homes,Confidential,Rental,8,n/a,No,DMH
497,7,Oak Bluffs,7939,Twin Oaks,148 Edgartown/VH Rd,Ownership,1,perp,YES,DHCD
497,8,Oak Bluffs,9127,Bradley Square,Bradley Square,Ownership,0,perp,YES,DHCD
497,9,Oak Bluffs,9503,Noyes Building,82 Pennacook Ave,Rental,3,Perp,NO,DHCD
498,1,Oakham,4408,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
499,1,Orange,2334,Colonial Acres,200 E. River St.,Rental,56,Perp,No,DHCD
499,2,Orange,2335,Congress St. Property,36 Congress St.,Rental,3,Perp,No,DHCD
499,3,Orange,2336,MacIntosh Court,100-108 East Main St.,Rental,8,Perp,No,DHCD
499,4,Orange,2337,Oaklawn Acres,120 Oak Lawn Avenue,Rental,6,Perp,No,DHCD
499,5,Orange,2338,West River St. Property,66-68 West River St.,Rental,3,Perp,No,DHCD
499,6,Orange,2339,Whitney St. Property,Whitney St.,Rental,3,Perp,No,DHCD
499,7,Orange,2342,Orange Scattered Site,Grove/N.Main/Prospect/Summit,Rental,13,2028,No,DHCD
499,8,Orange,2344,Pine Crest I,419 E. River Rd/ Hastings Farm,Rental,114,2102,No,MassHousing
499,9,Orange,2345,King James Court,383 East River St.,Rental,120,2030*,No,MassHousing
499,10,Orange,2346,Redbrook Village,Redbrook Lane,Rental,64,2043,No,RHS
499,11,Orange,4409,DDS Group Homes,Confidential,Rental,7,N/A,No,DDS
499,12,Orange,9098,Orange Recovery House,Congress St,Rental,8,2035,NO,DHCD
500,1,Orleans,2347,Tonset Woods I,94 Hopkins Lane,Rental,40,Perp,No,DHCD
500,2,Orleans,2348,Tonset Woods II,94 Hopkins Lane,Rental,60,Perp,No,DHCD
500,3,Orleans,2349,n/a,181 Main St.,Rental,8,Perp,Yes,DHCD
500,4,Orleans,2350,n/a,53 Meetinghouse Rd.,Rental,8,Perp,Yes,DHCD
500,5,Orleans,2351,n/a,John Avellar Circle/Oak Ridge,Rental,11,Perp,Yes,DHCD
500,6,Orleans,2352,Bakers Pond Road Homeownership,Opa's Way,Ownership,12,2098,No,DHCD
500,7,Orleans,2353,Canal House,71 Canal Road,Rental,9,2037,No,"DHCD, HUD"
500,8,Orleans,2354,Emmaus House,3 Tonset Road,Rental,6,Perp,No,DHCD
500,9,Orleans,2357,Rock Harbor Village,9 Main Street,Rental,100,2019,No,MassHousing
500,10,Orleans,4056,Wise Living in Orleans,18 West Road,Ownership,11,Perp,Yes,MassHousing
500,11,Orleans,4410,DDS Group Homes,Confidential,Rental,13,N/A,No,DDS
500,12,Orleans,4594,DMH Group Homes,Confidential,Rental,6,N/A,No,DMH
500,13,Orleans,6597,LCCCDC HOR Program FY 02,Harwich Road,Ownership,1,11/26/17,No,DHCD
501,1,Orleans,6598,LCCCDC HOR Program FY 03,Chase Lane,Ownership,1,10/25/19,No,DHCD
501,2,Orleans,6599,LCCCDC HOR Program FY 03,Quinn Road,Ownership,1,7/29/19,No,DHCD
501,3,Orleans,6600,LCCCDC HOR Program FY 03,South Orleans Road,Ownership,1,6/28/19,No,DHCD
501,4,Orleans,6601,LCCCDC HOR Program FY 03,Chase Lane,Ownership,1,2/5/19,No,DHCD
501,5,Orleans,6602,LCCCDC HOR Program FY 03,Woodridge Road,Ownership,1,10/9/18,No,DHCD
501,6,Orleans,7891,Finlay Road Condominiums,Finlay Rd,Ownership,3,perp,YES,DHCD
501,7,Orleans,9517,Habitat for Humanity of Cape Cod,Nickerson Road,Ownership,1,Perp,NO,DHCD
501,8,Orleans,9631,John P. Hinckley Affordable Homes,257 Route 6A,Ownership,4,Perp,YES,DHCD
501,9,Orleans,9774,Habitat for Humanity-Bevan Way,Bevan Way,Ownership,6,Perp,YES,DHCD
502,1,Otis,4411,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
503,1,Oxford,2358,n/a,Liberty Lane,Rental,8,Perp,Yes,DHCD
503,2,Oxford,2359,n/a,Liberty Lane,Rental,40,Perp,Yes,DHCD
503,3,Oxford,2360,n/a,23 Wheelock St.,Rental,66,Perp,No,DHCD
503,4,Oxford,2361,n/a,23 Wheelock St.,Rental,52,Perp,No,DHCD
503,5,Oxford,2362,n/a,Liberty Lane,Rental,5,Perp,Yes,DHCD
503,6,Oxford,2363,n/a,Blueberry Lane,Rental,14,Perp,Yes,DHCD
503,7,Oxford,2364,New Orchard Hill,Sutton Avenue/220 Orchard Hill Dr.,Rental,215,2024,No,"DHCD, DHCD, MassHousing"
503,8,Oxford,4412,DDS Group Homes,Confidential,Rental,4,N/A,No,DDS
504,1,Palmer,2365,Laurel Manor,Fletcher St.,Rental,48,Perp,No,DHCD
504,2,Palmer,2366,Kirkwood Place,4216 Main Street,Rental,27,2023,No,"DHCD, RHS"
504,3,Palmer,2368,Palmer Green Estates,Beacon Drive,Rental,156,2021,No,MassHousing
504,4,Palmer,2369,Palmer Neighborhood Homes,Hillside Drive,Rental,4,2021,No,DHCD
504,5,Palmer,4413,DDS Group Homes,Confidential,Rental,31,N/A,No,DDS
504,6,Palmer,8712,Crystal Lake Village,off Fuller Road,Ownership,3,perp,YES,MassHousing
505,1,Paxton,4414,DDS Group Homes,Confidential,Rental,12,N/A,No,DDS
505,2,Paxton,9765,The Hills at Paxton Village,260 Grove Street,Rental,50,2112,NO,"DHCD, MassHousing"
506,1,Peabody,2408,Tanners Court,Tanners Court,Rental,24,Perp,No,DHCD
506,2,Peabody,2409,Veterans Memorial,Veterans Memorial Dr.,Rental,68,Perp,No,DHCD
506,3,Peabody,2410,Breshnahan St.,Breshnahan St.,Rental,35,Perp,No,DHCD
506,4,Peabody,2411,Connolly Terrace,Connolly Terrace,Rental,52,Perp,No,DHCD
506,5,Peabody,2412,Eastman Park,Eastman Park,Rental,52,Perp,No,DHCD
506,6,Peabody,2413,Farnsworth,103 Central St.,Rental,29,Perp,Yes,DHCD
506,7,Peabody,2414,Rockdale Park,Rockdale Park,Rental,50,Perp,No,DHCD
506,8,Peabody,2415,Seeglitz School,75-81 Central St.,Rental,78,Perp,No,DHCD
506,9,Peabody,2416,Wilson Terrace,Wilson Terrace,Rental,50,Perp,No,DHCD
506,10,Peabody,2417,509 Lowell St.,509 Lowell St.,Rental,8,Perp,Yes,DHCD
506,11,Peabody,2418,347 Lowell St.,347 Lowell St.,Rental,6,Perp,No,DHCD
506,12,Peabody,2419,Lowell Crossing,349 Lowell St.,Rental,8,Perp,No,DHCD
506,13,Peabody,2420,Colonial Manor,59 Andover Drive,Rental,26,Perp,No,DHCD
506,14,Peabody,2421,Goldberg Road,Goldberg Road,Rental,15,Perp,Yes,DHCD
507,1,Peabody,2422,Jacob Street,Jacob St.,Rental,4,Perp,No,DHCD
507,2,Peabody,2424,Fairweather Apartments,20 Central St,Rental,88,2025*,No,HUD
507,3,Peabody,2425,Family Estates Co-op,154 Newbury St.,Rental,39,2045*,No,DHCD
507,4,Peabody,2426,Family Quarters,31 Reed Road,Rental,4,2041,No,"EOHHS, HUD"
507,5,Peabody,2428,Peabody House,34 Wallis & Hardy St (18 Walnut St?),Rental,140,1/8/24,Yes,"HUD/, MassHousing"
507,6,Peabody,2429,Stoney Brook,Lynnfield Street,Ownership,22,2026,Yes,DHCD
507,7,Peabody,2430,Tannery II,12 Crowninshield St.,Rental,173,2035*,No,"MassHousing, HUD"
507,8,Peabody,2431,The Tannery,18 Crowninshield St.,Rental,284,2018,No,MassHousing
507,9,Peabody,2432,Penelope Elderly,98 Central Street,Rental,48,2021,No,"DHCD, HUD, HUD"
507,10,Peabody,2433,Citizens for Adequate Housing,"Fulton, Lowe & Northend St",Ownership,10,2030,No,HUD
508,1,Peabody,2441,Avalon Village South,Andover Street,Rental,309,2042,Yes,MassHousing
508,2,Peabody,2442,Juniper Village,Bartholomew Street,Ownership,15,2101,Yes,FHLBB
508,3,Peabody,3964,Lowell Street,756 Lowell St.,Rental,5,2054,No,DHCD
508,4,Peabody,4415,DDS Group Homes,Confidential,Rental,150,N/A,No,DDS
508,5,Peabody,4595,DMH Group Homes,Confidential,Rental,33,N/A,No,DMH
508,6,Peabody,4686,Citizens for Adequate Housing,Central Street,Rental,2,Perp,No,HUD
508,7,Peabody,6203,Peabody HOR Program,Holten Street,Mix,3,2017,No,DHCD
508,8,Peabody,6204,Peabody HOR Program,McIntire Court,Mix,2,2017,No,DHCD
508,9,Peabody,6205,Peabody HOR Program,Aborn Street,Mix,2,2017,No,DHCD
508,10,Peabody,6206,Peabody HOR Program,Central Street,Mix,3,2017,No,DHCD
508,11,Peabody,6207,Peabody HOR Program,Pierpoint Street,Mix,2,2017,No,DHCD
508,12,Peabody,6208,Peabody HOR Program,Washington Street,Mix,2,2018,No,DHCD
508,13,Peabody,7045,Peabody HOR Program,286 Newbury Street,Ownership,1,6/26/17,No,DHCD
508,14,Peabody,7046,Peabody HOR Program,Livingston Drive,Ownership,1,7/15/17,No,DHCD
509,1,Peabody,7047,Peabody HOR Program,4 Ledgewood Way,Ownership,1,9/2/17,No,DHCD
509,2,Peabody,7048,Peabody HOR Program,Davis Terrace,Ownership,1,9/5/17,No,DHCD
509,3,Peabody,7049,Peabody HOR Program,286 Newbury Street,Ownership,1,9/19/17,No,DHCD
509,4,Peabody,7050,Peabody HOR Program,Harrison Avenue,Ownership,1,6/18/18,No,DHCD
509,5,Peabody,7051,Peabody HOR Program,286 Newbury Street,Ownership,1,8/8/18,No,"DHCD, DHCD"
509,6,Peabody,7052,Peabody HOR Program,286 Newbury Street,Ownership,1,8/14/18,No,DHCD
509,7,Peabody,7053,Peabody HOR Program,Greenwood Road,Ownership,1,8/15/18,No,DHCD
509,8,Peabody,7054,Peabody HOR Program,Glendale Avenue,Ownership,1,8/30/18,No,DHCD
509,9,Peabody,7055,Peabody HOR Program,Oak Avenue,Ownership,1,9/8/18,No,DHCD
509,10,Peabody,7056,Peabody HOR Program,Grant Street,Ownership,1,10/30/18,No,DHCD
509,11,Peabody,7057,Peabody HOR Program,Abington Avenue,Ownership,2,11/6/18,No,DHCD
509,12,Peabody,7058,Peabody HOR Program,Price Road,Ownership,1,11/14/18,No,DHCD
509,13,Peabody,7059,Peabody HOR Program,Andover Street,Ownership,1,11/20/18,No,DHCD
510,1,Peabody,7060,Peabody HOR Program,Trask Road,Ownership,1,3/16/19,No,DHCD
510,2,Peabody,7061,Peabody HOR Program,Emerson Street Ext,Ownership,1,10/28/19,No,DHCD
510,3,Peabody,7062,Peabody HOR Program,Aborn Place,Ownership,1,12/2/19,No,DHCD
