Town_or_City,Type,Num_Parcels,Total_SHI_Units
Weymouth,Rental,29,1761
Whately,NA,1,2
Whately,Rental,1,0
Whitman,Rental,8,200
Wilbraham,Rental,9,305
Williamsburg,Ownership,1,11
Williamsburg,Rental,5,40
Williamstown,Rental,10,201
Wilmington,NA,1,1
Wilmington,Ownership,56,140
Wilmington,Rental,10,658
Winchendon,Ownership,7,9
Winchendon,Rental,12,322
Winchester,Ownership,3,9
Winchester,Rental,8,235
Windsor,Rental,1,0
Winthrop,Rental,9,638
Woburn,Ownership,1,5
Woburn,Rental,19,1406
Worcester,NA,1,24
Worcester,Ownership,14,234
Worcester,Rental,112,9817
Worthington,Rental,3,22
Wrentham,Rental,7,485
Yarmouth,Ownership,39,137
Yarmouth,Rental,15,459
