state,county,candidate,party,votes,won
Montana,Teton County,Lyman Bishop,LIB,135,False
Montana,Toole County,Greg Gianforte,REP,1546,True
Montana,Toole County,Mike Cooney,DEM,468,False
Montana,Toole County,Lyman Bishop,LIB,101,False
Montana,Treasure County,Greg Gianforte,REP,358,True
Montana,Treasure County,Mike Cooney,DEM,89,False
Montana,Treasure County,Lyman Bishop,LIB,13,False
Montana,Valley County,Greg Gianforte,REP,2899,True
Montana,Valley County,Mike Cooney,DEM,1182,False
Montana,Valley County,Lyman Bishop,LIB,167,False
Montana,Wheatland County,Greg Gianforte,REP,767,True
Montana,Wheatland County,Mike Cooney,DEM,251,False
Montana,Wheatland County,Lyman Bishop,LIB,42,False
Montana,Wibaux County,Greg Gianforte,REP,465,True
Montana,Wibaux County,Mike Cooney,DEM,105,False
Montana,Wibaux County,Lyman Bishop,LIB,15,False
Montana,Yellowstone County,Greg Gianforte,REP,48586,True
Montana,Yellowstone County,Mike Cooney,DEM,31152,False
Montana,Yellowstone County,Lyman Bishop,LIB,4051,False
New Hampshire,Alton,Chris Sununu,REP,3093,True
New Hampshire,Alton,Dan Feltes,DEM,757,False
New Hampshire,Alton,Darryl Perry,LIB,36,False
New Hampshire,Alton, Write-ins,WRI,0,False
New Hampshire,Barnstead,Chris Sununu,REP,2181,True
New Hampshire,Barnstead,Dan Feltes,DEM,662,False
New Hampshire,Barnstead,Darryl Perry,LIB,61,False
New Hampshire,Barnstead, Write-ins,WRI,0,False
New Hampshire,Belmont,Chris Sununu,REP,3133,True
New Hampshire,Belmont,Dan Feltes,DEM,813,False
New Hampshire,Belmont,Darryl Perry,LIB,63,False
New Hampshire,Belmont, Write-ins,WRI,0,False
New Hampshire,Center Harbor,Chris Sununu,REP,552,True
New Hampshire,Center Harbor,Dan Feltes,DEM,224,False
New Hampshire,Center Harbor,Darryl Perry,LIB,12,False
New Hampshire,Center Harbor, Write-ins,WRI,0,False
New Hampshire,Gilford,Chris Sununu,REP,3796,True
New Hampshire,Gilford,Dan Feltes,DEM,1372,False
New Hampshire,Gilford,Darryl Perry,LIB,46,False
New Hampshire,Gilford, Write-ins,WRI,0,False
New Hampshire,Gilmanton,Chris Sununu,REP,1808,True
New Hampshire,Gilmanton,Dan Feltes,DEM,622,False
New Hampshire,Gilmanton,Darryl Perry,LIB,30,False
New Hampshire,Gilmanton, Write-ins,WRI,2,False
New Hampshire,Laconia,Chris Sununu,REP,6426,True
New Hampshire,Laconia,Dan Feltes,DEM,2329,False
New Hampshire,Laconia,Darryl Perry,LIB,117,False
New Hampshire,Laconia, Write-ins,WRI,8,False
New Hampshire,Meredith,Chris Sununu,REP,3137,True
New Hampshire,Meredith,Dan Feltes,DEM,1185,False
New Hampshire,Meredith,Darryl Perry,LIB,53,False
New Hampshire,Meredith, Write-ins,WRI,0,False
New Hampshire,New Hampton,Chris Sununu,REP,1065,True
New Hampshire,New Hampton,Dan Feltes,DEM,440,False
New Hampshire,New Hampton,Darryl Perry,LIB,18,False
New Hampshire,New Hampton, Write-ins,WRI,4,False
New Hampshire,Sanbornton,Chris Sununu,REP,1432,True
New Hampshire,Sanbornton,Dan Feltes,DEM,558,False
New Hampshire,Sanbornton,Darryl Perry,LIB,25,False
New Hampshire,Sanbornton, Write-ins,WRI,0,False
New Hampshire,Tilton,Chris Sununu,REP,1451,True
New Hampshire,Tilton,Dan Feltes,DEM,529,False
New Hampshire,Tilton,Darryl Perry,LIB,39,False
New Hampshire,Tilton, Write-ins,WRI,0,False
New Hampshire,Albany,Chris Sununu,REP,276,True
New Hampshire,Albany,Dan Feltes,DEM,162,False
New Hampshire,Albany,Darryl Perry,LIB,7,False
New Hampshire,Albany, Write-ins,WRI,0,False
New Hampshire,Bartlett,Chris Sununu,REP,1232,True
New Hampshire,Bartlett,Dan Feltes,DEM,896,False
New Hampshire,Bartlett,Darryl Perry,LIB,14,False
New Hampshire,Bartlett, Write-ins,WRI,0,False
New Hampshire,Brookfield,Chris Sununu,REP,400,True
New Hampshire,Brookfield,Dan Feltes,DEM,128,False
New Hampshire,Brookfield,Darryl Perry,LIB,8,False
New Hampshire,Brookfield, Write-ins,WRI,0,False
New Hampshire,Chatham,Chris Sununu,REP,164,True
New Hampshire,Chatham,Dan Feltes,DEM,76,False
New Hampshire,Chatham,Darryl Perry,LIB,4,False
New Hampshire,Chatham, Write-ins,WRI,0,False
New Hampshire,Conway,Chris Sununu,REP,3657,True
New Hampshire,Conway,Dan Feltes,DEM,2122,False
New Hampshire,Conway,Darryl Perry,LIB,64,False
New Hampshire,Conway, Write-ins,WRI,0,False
New Hampshire,Eaton,Chris Sununu,REP,172,True
New Hampshire,Eaton,Dan Feltes,DEM,129,False
New Hampshire,Eaton,Darryl Perry,LIB,4,False
New Hampshire,Eaton, Write-ins,WRI,0,False
New Hampshire,Effingham,Chris Sununu,REP,640,True
New Hampshire,Effingham,Dan Feltes,DEM,271,False
New Hampshire,Effingham,Darryl Perry,LIB,13,False
New Hampshire,Effingham, Write-ins,WRI,0,False
New Hampshire,Freedom,Chris Sununu,REP,732,True
New Hampshire,Freedom,Dan Feltes,DEM,333,False
New Hampshire,Freedom,Darryl Perry,LIB,15,False
New Hampshire,Freedom, Write-ins,WRI,0,False
New Hampshire,Harts Location,Chris Sununu,REP,26,True
New Hampshire,Harts Location,Dan Feltes,DEM,17,False
New Hampshire,Harts Location,Darryl Perry,LIB,0,False
New Hampshire,Harts Location, Write-ins,WRI,0,False
New Hampshire,Jackson,Dan Feltes,DEM,424,True
New Hampshire,Jackson,Chris Sununu,REP,328,False
New Hampshire,Jackson,Darryl Perry,LIB,33,False
New Hampshire,Jackson, Write-ins,WRI,0,False
New Hampshire,Madison,Chris Sununu,REP,1073,True
New Hampshire,Madison,Dan Feltes,DEM,595,False
New Hampshire,Madison,Darryl Perry,LIB,15,False
New Hampshire,Madison, Write-ins,WRI,0,False
New Hampshire,Moultonborough,Chris Sununu,REP,2739,True
New Hampshire,Moultonborough,Dan Feltes,DEM,855,False
New Hampshire,Moultonborough,Darryl Perry,LIB,15,False
New Hampshire,Moultonborough, Write-ins,WRI,2,False
New Hampshire,Ossipee,Chris Sununu,REP,1858,True
New Hampshire,Ossipee,Dan Feltes,DEM,567,False
New Hampshire,Ossipee,Darryl Perry,LIB,36,False
New Hampshire,Ossipee, Write-ins,WRI,5,False
New Hampshire,Sandwich,Chris Sununu,REP,584,True
New Hampshire,Sandwich,Dan Feltes,DEM,526,False
New Hampshire,Sandwich,Darryl Perry,LIB,12,False
New Hampshire,Sandwich, Write-ins,WRI,0,False
New Hampshire,Tamworth,Chris Sununu,REP,1094,True
New Hampshire,Tamworth,Dan Feltes,DEM,644,False
New Hampshire,Tamworth,Darryl Perry,LIB,24,False
New Hampshire,Tamworth, Write-ins,WRI,0,False
New Hampshire,Tuftonboro,Chris Sununu,REP,1387,True
New Hampshire,Tuftonboro,Dan Feltes,DEM,493,False
New Hampshire,Tuftonboro,Darryl Perry,LIB,10,False
New Hampshire,Tuftonboro, Write-ins,WRI,0,False
New Hampshire,Wakefield,Chris Sununu,REP,2539,True
New Hampshire,Wakefield,Dan Feltes,DEM,724,False
New Hampshire,Wakefield,Darryl Perry,LIB,29,False
New Hampshire,Wakefield, Write-ins,WRI,0,False
New Hampshire,Wolfeboro,Chris Sununu,REP,3218,True
New Hampshire,Wolfeboro,Dan Feltes,DEM,1466,False
New Hampshire,Wolfeboro,Darryl Perry,LIB,45,False
New Hampshire,Wolfeboro, Write-ins,WRI,0,False
New Hampshire,Alstead,Chris Sununu,REP,649,True
New Hampshire,Alstead,Dan Feltes,DEM,501,False
New Hampshire,Alstead,Darryl Perry,LIB,28,False
New Hampshire,Alstead, Write-ins,WRI,0,False
New Hampshire,Chesterfield,Chris Sununu,REP,1282,True
New Hampshire,Chesterfield,Dan Feltes,DEM,1052,False
New Hampshire,Chesterfield,Darryl Perry,LIB,31,False
New Hampshire,Chesterfield, Write-ins,WRI,0,False
New Hampshire,Dublin,Chris Sununu,REP,588,True
New Hampshire,Dublin,Dan Feltes,DEM,492,False
New Hampshire,Dublin,Darryl Perry,LIB,9,False
New Hampshire,Dublin, Write-ins,WRI,0,False
New Hampshire,Fitzwilliam,Chris Sununu,REP,834,True
New Hampshire,Fitzwilliam,Dan Feltes,DEM,442,False
New Hampshire,Fitzwilliam,Darryl Perry,LIB,28,False
New Hampshire,Fitzwilliam, Write-ins,WRI,0,False
New Hampshire,Gilsum,Chris Sununu,REP,337,True
New Hampshire,Gilsum,Dan Feltes,DEM,160,False
New Hampshire,Gilsum,Darryl Perry,LIB,8,False
New Hampshire,Gilsum, Write-ins,WRI,0,False
New Hampshire,Harrisville,Dan Feltes,DEM,433,True
New Hampshire,Harrisville,Chris Sununu,REP,315,False
New Hampshire,Harrisville,Darryl Perry,LIB,8,False
New Hampshire,Harrisville, Write-ins,WRI,0,False
New Hampshire,Hinsdale,Chris Sununu,REP,1099,True
New Hampshire,Hinsdale,Dan Feltes,DEM,713,False
New Hampshire,Hinsdale,Darryl Perry,LIB,38,False
New Hampshire,Hinsdale, Write-ins,WRI,0,False
New Hampshire,Jaffrey,Chris Sununu,REP,1902,True
New Hampshire,Jaffrey,Dan Feltes,DEM,1055,False
New Hampshire,Jaffrey,Darryl Perry,LIB,56,False
New Hampshire,Jaffrey, Write-ins,WRI,0,False
New Hampshire,Keene,Dan Feltes,DEM,6497,True
New Hampshire,Keene,Chris Sununu,REP,5966,False
New Hampshire,Keene,Darryl Perry,LIB,245,False
New Hampshire,Keene, Write-ins,WRI,13,False
New Hampshire,Marlborough,Chris Sununu,REP,683,True
New Hampshire,Marlborough,Dan Feltes,DEM,540,False
New Hampshire,Marlborough,Darryl Perry,LIB,26,False
New Hampshire,Marlborough, Write-ins,WRI,0,False
New Hampshire,Marlow,Chris Sununu,REP,284,True
New Hampshire,Marlow,Dan Feltes,DEM,196,False
New Hampshire,Marlow,Darryl Perry,LIB,8,False
New Hampshire,Marlow, Write-ins,WRI,0,False
New Hampshire,Nelson,Dan Feltes,DEM,223,True
New Hampshire,Nelson,Chris Sununu,REP,208,False
New Hampshire,Nelson,Darryl Perry,LIB,6,False
New Hampshire,Nelson, Write-ins,WRI,0,False
New Hampshire,Richmond,Chris Sununu,REP,485,True
New Hampshire,Richmond,Dan Feltes,DEM,198,False
New Hampshire,Richmond,Darryl Perry,LIB,17,False
New Hampshire,Richmond, Write-ins,WRI,0,False
New Hampshire,Rindge,Chris Sununu,REP,2579,True
New Hampshire,Rindge,Dan Feltes,DEM,930,False
New Hampshire,Rindge,Darryl Perry,LIB,68,False
New Hampshire,Rindge, Write-ins,WRI,0,False
New Hampshire,Roxbury,Dan Feltes,DEM,71,True
New Hampshire,Roxbury,Chris Sununu,REP,63,False
New Hampshire,Roxbury,Darryl Perry,LIB,2,False
New Hampshire,Roxbury, Write-ins,WRI,0,False
New Hampshire,Stoddard,Chris Sununu,REP,554,True
New Hampshire,Stoddard,Dan Feltes,DEM,353,False
New Hampshire,Stoddard,Darryl Perry,LIB,12,False
New Hampshire,Stoddard, Write-ins,WRI,0,False
New Hampshire,Sullivan,Chris Sununu,REP,248,True
New Hampshire,Sullivan,Dan Feltes,DEM,139,False
New Hampshire,Sullivan,Darryl Perry,LIB,10,False
New Hampshire,Sullivan, Write-ins,WRI,0,False
New Hampshire,Surry,Chris Sununu,REP,340,True
New Hampshire,Surry,Dan Feltes,DEM,207,False
New Hampshire,Surry,Darryl Perry,LIB,5,False
New Hampshire,Surry, Write-ins,WRI,0,False
New Hampshire,Swanzey,Chris Sununu,REP,2404,True
New Hampshire,Swanzey,Dan Feltes,DEM,1295,False
New Hampshire,Swanzey,Darryl Perry,LIB,45,False
New Hampshire,Swanzey, Write-ins,WRI,0,False
New Hampshire,Troy,Chris Sununu,REP,754,True
New Hampshire,Troy,Dan Feltes,DEM,319,False
New Hampshire,Troy,Darryl Perry,LIB,24,False
New Hampshire,Troy, Write-ins,WRI,0,False
New Hampshire,Walpole,Chris Sununu,REP,1282,True
New Hampshire,Walpole,Dan Feltes,DEM,998,False
New Hampshire,Walpole,Darryl Perry,LIB,42,False
New Hampshire,Walpole, Write-ins,WRI,0,False
New Hampshire,Westmoreland,Chris Sununu,REP,630,True
New Hampshire,Westmoreland,Dan Feltes,DEM,467,False
New Hampshire,Westmoreland,Darryl Perry,LIB,14,False
New Hampshire,Westmoreland, Write-ins,WRI,0,False
New Hampshire,Winchester,Chris Sununu,REP,1222,True
New Hampshire,Winchester,Dan Feltes,DEM,692,False
New Hampshire,Winchester,Darryl Perry,LIB,51,False
New Hampshire,Winchester, Write-ins,WRI,0,False
New Hampshire,Berlin,Chris Sununu,REP,2547,True
New Hampshire,Berlin,Dan Feltes,DEM,1381,False
New Hampshire,Berlin,Darryl Perry,LIB,97,False
New Hampshire,Berlin, Write-ins,WRI,0,False
New Hampshire,Carroll,Chris Sununu,REP,371,True
New Hampshire,Carroll,Dan Feltes,DEM,159,False
New Hampshire,Carroll,Darryl Perry,LIB,4,False
New Hampshire,Carroll, Write-ins,WRI,0,False
New Hampshire,Clarksville,Chris Sununu,REP,132,True
New Hampshire,Clarksville,Dan Feltes,DEM,39,False
New Hampshire,Clarksville,Darryl Perry,LIB,9,False
New Hampshire,Clarksville, Write-ins,WRI,0,False
New Hampshire,Colebrook,Chris Sununu,REP,808,True
New Hampshire,Colebrook,Dan Feltes,DEM,239,False
New Hampshire,Colebrook,Darryl Perry,LIB,9,False
New Hampshire,Colebrook, Write-ins,WRI,0,False
New Hampshire,Columbia,Chris Sununu,REP,287,True
New Hampshire,Columbia,Dan Feltes,DEM,70,False
New Hampshire,Columbia,Darryl Perry,LIB,7,False
New Hampshire,Columbia, Write-ins,WRI,0,False
New Hampshire,Dalton,Chris Sununu,REP,371,True
New Hampshire,Dalton,Dan Feltes,DEM,138,False
New Hampshire,Dalton,Darryl Perry,LIB,10,False
New Hampshire,Dalton, Write-ins,WRI,0,False
New Hampshire,Dixville,Chris Sununu,REP,4,True
New Hampshire,Dixville,Dan Feltes,DEM,1,False
New Hampshire,Dixville,Darryl Perry,LIB,0,False
New Hampshire,Dixville, Write-ins,WRI,0,False
New Hampshire,Dummer,Chris Sununu,REP,128,True
New Hampshire,Dummer,Dan Feltes,DEM,53,False
New Hampshire,Dummer,Darryl Perry,LIB,3,False
New Hampshire,Dummer, Write-ins,WRI,0,False
New Hampshire,Errol,Chris Sununu,REP,190,True
New Hampshire,Errol,Dan Feltes,DEM,29,False
New Hampshire,Errol,Darryl Perry,LIB,3,False
New Hampshire,Errol, Write-ins,WRI,0,False
New Hampshire,Gorham,Chris Sununu,REP,1066,True
New Hampshire,Gorham,Dan Feltes,DEM,566,False
New Hampshire,Gorham,Darryl Perry,LIB,29,False
New Hampshire,Gorham, Write-ins,WRI,1,False
New Hampshire,Jefferson,Chris Sununu,REP,489,True
New Hampshire,Jefferson,Dan Feltes,DEM,162,False
New Hampshire,Jefferson,Darryl Perry,LIB,6,False
New Hampshire,Jefferson, Write-ins,WRI,0,False
New Hampshire,Lancaster,Chris Sununu,REP,1189,True
New Hampshire,Lancaster,Dan Feltes,DEM,490,False
New Hampshire,Lancaster,Darryl Perry,LIB,35,False
New Hampshire,Lancaster, Write-ins,WRI,5,False
New Hampshire,Milan,Chris Sununu,REP,578,True
New Hampshire,Milan,Dan Feltes,DEM,204,False
New Hampshire,Milan,Darryl Perry,LIB,10,False
New Hampshire,Milan, Write-ins,WRI,0,False
New Hampshire,Millsfield,Chris Sununu,REP,22,True
New Hampshire,Millsfield,Dan Feltes,DEM,0,False
New Hampshire,Millsfield,Darryl Perry,LIB,0,False
New Hampshire,Millsfield, Write-ins,WRI,0,False
New Hampshire,Northumberland,Chris Sununu,REP,795,True
New Hampshire,Northumberland,Dan Feltes,DEM,237,False
New Hampshire,Northumberland,Darryl Perry,LIB,11,False
New Hampshire,Northumberland, Write-ins,WRI,0,False
New Hampshire,Pittsburg,Chris Sununu,REP,474,True
New Hampshire,Pittsburg,Dan Feltes,DEM,66,False
New Hampshire,Pittsburg,Darryl Perry,LIB,1,False
New Hampshire,Pittsburg, Write-ins,WRI,0,False
New Hampshire,Randolph,Chris Sununu,REP,143,True
New Hampshire,Randolph,Dan Feltes,DEM,128,False
New Hampshire,Randolph,Darryl Perry,LIB,1,False
New Hampshire,Randolph, Write-ins,WRI,0,False
New Hampshire,Shelburne,Chris Sununu,REP,160,True
New Hampshire,Shelburne,Dan Feltes,DEM,85,False
New Hampshire,Shelburne,Darryl Perry,LIB,3,False
New Hampshire,Shelburne, Write-ins,WRI,0,False
New Hampshire,Stark,Chris Sununu,REP,227,True
New Hampshire,Stark,Dan Feltes,DEM,61,False
New Hampshire,Stark,Darryl Perry,LIB,4,False
New Hampshire,Stark, Write-ins,WRI,0,False
New Hampshire,Stewartstown,Chris Sununu,REP,326,True
New Hampshire,Stewartstown,Dan Feltes,DEM,65,False
New Hampshire,Stewartstown,Darryl Perry,LIB,2,False
New Hampshire,Stewartstown, Write-ins,WRI,0,False
New Hampshire,Stratford,Chris Sununu,REP,199,True
New Hampshire,Stratford,Dan Feltes,DEM,90,False
New Hampshire,Stratford,Darryl Perry,LIB,7,False
New Hampshire,Stratford, Write-ins,WRI,0,False
New Hampshire,Wentworth's Location,Chris Sununu,REP,15,True
New Hampshire,Wentworth's Location,Dan Feltes,DEM,3,False
New Hampshire,Wentworth's Location, Write-ins,WRI,2,False
New Hampshire,Wentworth's Location,Darryl Perry,LIB,0,False
New Hampshire,Whitefield,Chris Sununu,REP,888,True
New Hampshire,Whitefield,Dan Feltes,DEM,400,False
New Hampshire,Whitefield,Darryl Perry,LIB,14,False
New Hampshire,Whitefield, Write-ins,WRI,0,False
New Hampshire,Alexandria,Chris Sununu,REP,775,True
New Hampshire,Alexandria,Dan Feltes,DEM,267,False
New Hampshire,Alexandria,Darryl Perry,LIB,26,False
New Hampshire,Alexandria, Write-ins,WRI,0,False
New Hampshire,Ashland,Chris Sununu,REP,792,True
New Hampshire,Ashland,Dan Feltes,DEM,382,False
New Hampshire,Ashland,Darryl Perry,LIB,19,False
New Hampshire,Ashland, Write-ins,WRI,0,False
New Hampshire,Bath,Chris Sununu,REP,431,True
New Hampshire,Bath,Dan Feltes,DEM,171,False
New Hampshire,Bath,Darryl Perry,LIB,11,False
New Hampshire,Bath, Write-ins,WRI,0,False
New Hampshire,Benton,Chris Sununu,REP,179,True
New Hampshire,Benton,Dan Feltes,DEM,46,False
New Hampshire,Benton,Darryl Perry,LIB,8,False
New Hampshire,Benton, Write-ins,WRI,0,False
New Hampshire,Bethlehem,Chris Sununu,REP,910,True
New Hampshire,Bethlehem,Dan Feltes,DEM,694,False
New Hampshire,Bethlehem,Darryl Perry,LIB,35,False
New Hampshire,Bethlehem, Write-ins,WRI,0,False
New Hampshire,Bridgewater,Chris Sununu,REP,607,True
New Hampshire,Bridgewater,Dan Feltes,DEM,231,False
New Hampshire,Bridgewater,Darryl Perry,LIB,9,False
New Hampshire,Bridgewater, Write-ins,WRI,1,False
New Hampshire,Bristol,Chris Sununu,REP,1317,True
New Hampshire,Bristol,Dan Feltes,DEM,495,False
New Hampshire,Bristol,Darryl Perry,LIB,28,False
New Hampshire,Bristol, Write-ins,WRI,6,False
New Hampshire,Campton,Chris Sununu,REP,1358,True
New Hampshire,Campton,Dan Feltes,DEM,713,False
New Hampshire,Campton,Darryl Perry,LIB,36,False
New Hampshire,Campton, Write-ins,WRI,0,False
New Hampshire,Canaan,Chris Sununu,REP,1291,True
New Hampshire,Canaan,Dan Feltes,DEM,741,False
New Hampshire,Canaan,Darryl Perry,LIB,24,False
New Hampshire,Canaan, Write-ins,WRI,0,False
New Hampshire,Dorchester,Chris Sununu,REP,153,True
New Hampshire,Dorchester,Dan Feltes,DEM,71,False
New Hampshire,Dorchester,Darryl Perry,LIB,5,False
New Hampshire,Dorchester, Write-ins,WRI,0,False
New Hampshire,Easton,Dan Feltes,DEM,127,True
New Hampshire,Easton,Chris Sununu,REP,98,False
New Hampshire,Easton,Darryl Perry,LIB,8,False
New Hampshire,Easton, Write-ins,WRI,0,False
New Hampshire,Ellsworth,Chris Sununu,REP,43,True
New Hampshire,Ellsworth,Dan Feltes,DEM,32,False
New Hampshire,Ellsworth,Darryl Perry,LIB,1,False
New Hampshire,Ellsworth, Write-ins,WRI,0,False
New Hampshire,Enfield,Chris Sununu,REP,1513,True
New Hampshire,Enfield,Dan Feltes,DEM,1184,False
New Hampshire,Enfield,Darryl Perry,LIB,40,False
New Hampshire,Enfield, Write-ins,WRI,0,False
New Hampshire,Franconia,Chris Sununu,REP,418,True
New Hampshire,Franconia,Dan Feltes,DEM,379,False
New Hampshire,Franconia,Darryl Perry,LIB,9,False
New Hampshire,Franconia, Write-ins,WRI,0,False
New Hampshire,Grafton,Chris Sununu,REP,544,True
New Hampshire,Grafton,Dan Feltes,DEM,213,False
New Hampshire,Grafton,Darryl Perry,LIB,21,False
New Hampshire,Grafton, Write-ins,WRI,0,False
New Hampshire,Groton,Chris Sununu,REP,277,True
New Hampshire,Groton,Dan Feltes,DEM,90,False
New Hampshire,Groton,Darryl Perry,LIB,8,False
New Hampshire,Groton, Write-ins,WRI,0,False
New Hampshire,Hanover,Dan Feltes,DEM,5020,True
New Hampshire,Hanover,Chris Sununu,REP,1742,False
New Hampshire,Hanover,Darryl Perry,LIB,76,False
New Hampshire,Hanover, Write-ins,WRI,0,False
New Hampshire,Haverhill,Chris Sununu,REP,1516,True
New Hampshire,Haverhill,Dan Feltes,DEM,560,False
New Hampshire,Haverhill,Darryl Perry,LIB,34,False
New Hampshire,Haverhill, Write-ins,WRI,0,False
New Hampshire,Hebron,Chris Sununu,REP,390,True
New Hampshire,Hebron,Dan Feltes,DEM,122,False
New Hampshire,Hebron,Darryl Perry,LIB,4,False
New Hampshire,Hebron, Write-ins,WRI,1,False
New Hampshire,Holderness,Chris Sununu,REP,843,True
New Hampshire,Holderness,Dan Feltes,DEM,618,False
New Hampshire,Holderness,Darryl Perry,LIB,14,False
New Hampshire,Holderness, Write-ins,WRI,0,False
New Hampshire,Landaff,Chris Sununu,REP,178,True
New Hampshire,Landaff,Dan Feltes,DEM,79,False
New Hampshire,Landaff,Darryl Perry,LIB,2,False
New Hampshire,Landaff, Write-ins,WRI,0,False
New Hampshire,Lebanon,Dan Feltes,DEM,4335,True
New Hampshire,Lebanon,Chris Sununu,REP,3394,False
New Hampshire,Lebanon,Darryl Perry,LIB,108,False
New Hampshire,Lebanon, Write-ins,WRI,0,False
New Hampshire,Lincoln,Chris Sununu,REP,630,True
New Hampshire,Lincoln,Dan Feltes,DEM,265,False
New Hampshire,Lincoln,Darryl Perry,LIB,12,False
New Hampshire,Lincoln, Write-ins,WRI,0,False
New Hampshire,Lisbon,Chris Sununu,REP,553,True
New Hampshire,Lisbon,Dan Feltes,DEM,223,False
New Hampshire,Lisbon,Darryl Perry,LIB,12,False
New Hampshire,Lisbon, Write-ins,WRI,2,False
New Hampshire,Littleton,Chris Sununu,REP,2130,True
New Hampshire,Littleton,Dan Feltes,DEM,925,False
New Hampshire,Littleton,Darryl Perry,LIB,43,False
New Hampshire,Littleton, Write-ins,WRI,0,False
New Hampshire,Lyman,Chris Sununu,REP,252,True
New Hampshire,Lyman,Dan Feltes,DEM,118,False
New Hampshire,Lyman,Darryl Perry,LIB,9,False
New Hampshire,Lyman, Write-ins,WRI,0,False
New Hampshire,Lyme,Dan Feltes,DEM,869,True
New Hampshire,Lyme,Chris Sununu,REP,397,False
New Hampshire,Lyme,Darryl Perry,LIB,7,False
New Hampshire,Lyme, Write-ins,WRI,0,False
New Hampshire,Monroe,Chris Sununu,REP,378,True
New Hampshire,Monroe,Dan Feltes,DEM,148,False
New Hampshire,Monroe,Darryl Perry,LIB,9,False
New Hampshire,Monroe, Write-ins,WRI,0,False
New Hampshire,Orange,Chris Sununu,REP,127,True
New Hampshire,Orange,Dan Feltes,DEM,57,False
New Hampshire,Orange,Darryl Perry,LIB,7,False
New Hampshire,Orange, Write-ins,WRI,0,False
New Hampshire,Orford,Chris Sununu,REP,415,True
New Hampshire,Orford,Dan Feltes,DEM,399,False
New Hampshire,Orford,Darryl Perry,LIB,9,False
New Hampshire,Orford, Write-ins,WRI,0,False
New Hampshire,Piermont,Chris Sununu,REP,282,True
New Hampshire,Piermont,Dan Feltes,DEM,151,False
New Hampshire,Piermont,Darryl Perry,LIB,6,False
New Hampshire,Piermont, Write-ins,WRI,0,False
New Hampshire,Plymouth,Chris Sununu,REP,1690,True
New Hampshire,Plymouth,Dan Feltes,DEM,1530,False
New Hampshire,Plymouth,Darryl Perry,LIB,94,False
New Hampshire,Plymouth, Write-ins,WRI,0,False
New Hampshire,Rumney,Chris Sununu,REP,644,True
New Hampshire,Rumney,Dan Feltes,DEM,281,False
New Hampshire,Rumney,Darryl Perry,LIB,18,False
New Hampshire,Rumney, Write-ins,WRI,0,False
New Hampshire,Sugar Hill,Chris Sununu,REP,247,True
New Hampshire,Sugar Hill,Dan Feltes,DEM,231,False
New Hampshire,Sugar Hill,Darryl Perry,LIB,4,False
New Hampshire,Sugar Hill, Write-ins,WRI,0,False
New Hampshire,Thornton,Chris Sununu,REP,1087,True
New Hampshire,Thornton,Dan Feltes,DEM,573,False
New Hampshire,Thornton,Darryl Perry,LIB,29,False
New Hampshire,Thornton, Write-ins,WRI,0,False
New Hampshire,Warren,Chris Sununu,REP,339,True
New Hampshire,Warren,Dan Feltes,DEM,123,False
New Hampshire,Warren,Darryl Perry,LIB,14,False
New Hampshire,Warren, Write-ins,WRI,0,False
New Hampshire,Waterville,Chris Sununu,REP,222,True
New Hampshire,Waterville,Dan Feltes,DEM,142,False
New Hampshire,Waterville,Darryl Perry,LIB,4,False
New Hampshire,Waterville, Write-ins,WRI,0,False
New Hampshire,Wentworth,Chris Sununu,REP,444,True
New Hampshire,Wentworth,Dan Feltes,DEM,155,False
New Hampshire,Wentworth,Darryl Perry,LIB,14,False
New Hampshire,Wentworth, Write-ins,WRI,5,False
New Hampshire,Woodstock,Chris Sununu,REP,568,True
New Hampshire,Woodstock,Dan Feltes,DEM,263,False
New Hampshire,Woodstock,Darryl Perry,LIB,21,False
New Hampshire,Woodstock, Write-ins,WRI,0,False
New Hampshire,Amherst,Chris Sununu,REP,4960,True
New Hampshire,Amherst,Dan Feltes,DEM,2913,False
New Hampshire,Amherst,Darryl Perry,LIB,105,False
New Hampshire,Amherst, Write-ins,WRI,0,False
New Hampshire,Antrim,Chris Sununu,REP,1006,True
New Hampshire,Antrim,Dan Feltes,DEM,535,False
New Hampshire,Antrim,Darryl Perry,LIB,24,False
New Hampshire,Antrim, Write-ins,WRI,2,False
New Hampshire,Bedford,Chris Sununu,REP,10493,True
New Hampshire,Bedford,Dan Feltes,DEM,4077,False
New Hampshire,Bedford,Darryl Perry,LIB,98,False
New Hampshire,Bedford, Write-ins,WRI,0,False
New Hampshire,Bennington,Chris Sununu,REP,521,True
New Hampshire,Bennington,Dan Feltes,DEM,279,False
New Hampshire,Bennington,Darryl Perry,LIB,21,False
New Hampshire,Bennington, Write-ins,WRI,1,False
New Hampshire,Brookline,Chris Sununu,REP,2445,True
New Hampshire,Brookline,Dan Feltes,DEM,1101,False
New Hampshire,Brookline,Darryl Perry,LIB,50,False
New Hampshire,Brookline, Write-ins,WRI,0,False
New Hampshire,Deering,Chris Sununu,REP,836,True
New Hampshire,Deering,Dan Feltes,DEM,292,False
New Hampshire,Deering,Darryl Perry,LIB,16,False
New Hampshire,Deering, Write-ins,WRI,0,False
New Hampshire,Francestown,Chris Sununu,REP,706,True
New Hampshire,Francestown,Dan Feltes,DEM,400,False
New Hampshire,Francestown,Darryl Perry,LIB,23,False
