county,state_code,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,state,cases,deaths,dem_16_margin,dem_20_margin,dem_margin_shift,cases_rate,deaths_rate,men_percent,women_percent
Boyd,KY,66.4466608,29.43678498,20454,13591,6021,65.75134538,32.57899821,21741,14295,7083,38.36176608,-82.68652187,48486,24180,24306,1.7,93.3,2.4,0.1,0.3,0,37927,45543,2616,26420,2990,19.3,27.5,36.3,17.9,23.7,8.9,13.3,82.8,10.9,0.3,3.4,1.1,1.5,21.6,18235,79.5,15.4,4.8,0.3,9.3,Kentucky,767,22,-37.00987582,-33.17234718,3.837528641,1.58189993,0.045373922,49.87006559,50.12993441
Boyd,NE,85.63922942,11.2084063,1142,978,128,87.59757155,11.7085863,1153,1010,135,42.8997274,-98.76486568,2049,1038,1011,0.7,95,0.5,1.5,0.9,0,1563,48750,7047,26413,3070,9.8,5.6,43.4,12,15.2,17.5,11.9,65.1,5.4,0,8,1.1,20.5,17.2,1020,54.8,17.5,26.2,1.5,1.6,Nebraska,82,0,-74.43082312,-75.88898526,-1.458162139,4.001952172,0,50.65885798,49.34114202
Boyle,KY,62.14252589,33.08857629,12938,8040,4281,61.3257759,36.62127601,14467,8872,5298,37.62680923,-84.8633779,29773,14883,14890,3.2,85.9,7.1,0.2,0.8,0,23299,43076,3260,23822,1373,15.5,18.7,33,18.1,20.3,7.5,21,80.4,10.6,0.1,3.8,0.9,4.1,20.5,12386,79.7,14.6,5.6,0.2,4.9,Kentucky,501,0,-29.05394961,-24.7044999,4.349449709,1.682732677,0,49.98824438,50.01175562
Bracken,KY,76.86419053,19.98865892,3527,2711,705,80.04241282,18.8265787,4244,3397,799,38.69158994,-84.08532444,8330,4186,4144,1.6,96.4,0,0.2,0.5,0,6226,40458,3488,22433,1774,21.4,26.2,27,16.3,20.2,16,20.4,82.1,10.9,0.1,2.4,0.5,4,35.6,3498,76.4,16.4,7.1,0.1,7.6,Kentucky,75,1,-56.87553161,-61.21583412,-4.340302505,0.900360144,0.012004802,50.25210084,49.74789916
Bradford,FL,73.67333444,24.16928418,12098,8913,2924,75.70695971,23.15018315,13650,10334,3160,29.95079741,-82.16611613,26775,14754,12021,3.8,74.5,19.1,0.3,0.6,0,21017,46106,5357,19656,1548,18.8,24.9,31.7,22.8,23.7,11,10.8,87.5,7.1,0.1,2.1,1.8,1.4,31.1,9118,71.3,24.9,3.6,0.2,7.6,Florida,1246,15,-49.50405026,-52.55677656,-3.052726301,4.653594771,0.056022409,55.10364146,44.89635854
Bradford,PA,70.69963384,24.65845112,25399,17957,6263,71.61198288,26.68612945,30143,21586,8044,41.78869215,-76.51570822,61546,30348,31198,1.4,96.1,0.6,0.1,0.6,0,47743,50900,1451,26937,926,12.2,18.5,28.4,16.2,19.8,13.6,21.9,80.9,8.8,0.2,4.7,1,4.4,22.5,26598,82.9,9.8,7,0.3,5.6,Pennsylvania,973,15,-46.04118272,-44.92585343,1.115329292,1.580931336,0.024372014,49.30945959,50.69054041
Bradley,AR,59.22782037,36.06243154,3652,2163,1317,63.99560922,33.15038419,3644,2332,1208,33.46755808,-92.15980837,10994,5262,5732,14.8,55.9,29.1,0,0,0,7849,36310,3985,21575,1320,26.4,42.2,25.9,16.6,13.8,18.4,25.3,82.2,9.6,0,1,2.8,4.5,22,4112,74,19,7,0,9.4,Arkansas,375,8,-23.16538883,-30.84522503,-7.679836199,3.410951428,0.072766964,47.86247044,52.13752956
Bradley,TN,77.51875391,18.41529485,38392,29761,7070,76.56195614,21.42577445,45968,35194,9849,35.15739424,-84.857186,103666,50468,53198,5.8,86.5,4.9,0.1,1.1,0,76964,46381,2205,25144,955,18,26.2,31.9,16.9,22.4,10.1,18.8,83.7,8.8,0.3,2.2,1.2,3.8,21.1,46406,82.5,10.5,6.7,0.3,7.2,Tennessee,3823,24,-59.10345905,-55.13618169,3.967277362,3.687805066,0.023151274,48.68327128,51.31672872
Branch,MI,66.85870224,28.74469375,16490,11025,4740,68.4825471,29.99367119,20541,14067,6161,41.91600556,-85.05929476,43543,22517,21026,4.5,90.9,2.3,0.3,0.5,0,32719,48192,1961,22977,575,15.9,25.8,22.8,18.4,22.1,10.3,26.5,83.7,8.9,0.4,1.3,1.4,4.3,22.5,18861,82.7,10.5,6.6,0.2,4.6,Michigan,1046,12,-38.11400849,-38.48887591,-0.374867417,2.40222309,0.027558965,51.71210068,48.28789932
Brantley,GA,88.48050915,9.84884646,6285,5561,619,90.25303382,9.024012393,7746,6991,699,31.19576557,-81.97743999,18411,9070,9341,2.1,92.6,3.1,0.1,0.7,0.1,13772,36812,3685,18220,1692,21.8,28,24.4,18,20.8,20.7,16.1,84.2,8.9,1.4,1.2,0.7,3.7,30.8,6430,75,18,6.8,0.2,7.8,Georgia,685,14,-78.63166269,-81.22902143,-2.597358741,3.720601814,0.076041497,49.26402694,50.73597306
Braxton,WV,69.44499309,25.97274343,5063,3516,1315,72.74011299,25.72387006,5664,4120,1457,38.70036159,-80.72011184,14345,7172,7173,1,97.1,0.3,0.1,0,0.2,11430,41266,3577,20633,1176,22.1,33.6,28.5,18.1,26.2,13.1,14.1,79.6,8.5,0.1,1.6,5.5,4.8,30.2,5320,77.7,16.9,4.7,0.7,15.3,West Virginia,77,0,-43.47224965,-47.01624294,-3.543993283,0.536772395,0,49.99651446,50.00348554
Brazoria,TX,60.39519186,35.80750815,120296,72653,43075,58.38791979,40.10724696,154037,89939,61780,29.18757369,-95.44563172,345995,175156,170839,29.7,49.1,12.9,0.3,6.2,0,232385,76426,2188,32343,729,9.9,12.1,41.7,14,20.2,11.2,12.8,86.3,8.9,0.2,0.8,0.9,2.8,29.8,162270,80.5,14.6,4.9,0.1,4.9,Texas,12687,186,-24.58768371,-18.28067283,6.307010888,3.666815994,0.053758002,50.62385295,49.37614705
Brazos,TX,58.54685323,34.89157429,66036,38662,23041,55.99329817,41.5820089,84753,47456,35242,30.6636448,-96.30205577,214231,108478,105753,25.1,56.7,10.2,0.1,6,0,150587,43907,1389,25337,637,26,22.9,41.1,18,22.9,8.7,9.3,77.7,11.3,2.4,2.5,2.7,3.4,17,103649,69.5,24.8,5.6,0.1,4.7,Texas,9009,76,-23.65527894,-14.41128928,9.243989663,4.205273747,0.035475725,50.63599572,49.36400428
Breathitt,KY,69.5902354,26.80034874,5735,3991,1537,75.26027881,22.95747309,5667,4265,1301,37.52333168,-83.31959161,13276,6675,6601,0.9,97,1,0.2,0.2,0,10462,25861,2129,16875,1305,36,48.3,29.9,23.9,23.1,11.1,12,79.3,11.3,0.6,3,4.7,1,27.7,4012,65.7,26,8.1,0.2,11.9,Kentucky,161,1,-42.78988666,-52.30280572,-9.512919056,1.212714673,0.007532389,50.2786984,49.7213016
Breckinridge,KY,73.9254361,22.34636872,8771,6484,1960,75.52221242,23.04599392,10197,7701,2350,37.77377239,-86.42885017,19991,10028,9963,1.3,94.7,1.7,0.1,0.4,0,15309,44057,4356,20735,969,17.7,22,27.1,15.8,18.2,15.5,23.5,75.4,15.9,1.1,2,1.2,4.4,31.6,7757,76.6,15.1,8.2,0.1,9.8,Kentucky,240,2,-51.57906738,-52.4762185,-0.897151114,1.200540243,0.010004502,50.16257316,49.83742684
Bremer,IA,53.92509363,40.06741573,13350,7199,5349,57.0180267,40.96601073,14534,8287,5954,42.77461496,-92.31795937,24741,12195,12546,1.4,95.3,0.9,0.2,1.1,0,19032,65440,2649,32105,1431,7.7,7.7,37.1,15.4,22.8,9.1,15.5,79.2,7.2,0.4,7.1,0.6,5.5,20.2,12931,80.8,12.2,7,0,3.6,Iowa,852,9,-13.8576779,-16.05201596,-2.19433806,3.443676488,0.036376864,49.29065115,50.70934885
Brevard,FL,57.77875338,38.02447691,314337,181620,119525,57.6314374,41.16800586,360666,207857,148479,28.29409504,-80.73091022,568183,277666,290517,9.7,75.3,9.8,0.3,2.4,0.1,445123,51536,616,29405,419,13.4,19.4,38.4,19.1,24.7,8.5,9.4,81.6,8,0.6,1.1,2.7,6,24.5,239195,81.6,13.1,5.2,0.2,7.6,Florida,12034,378,-19.75427646,-16.46343154,3.290844921,2.117979595,0.066527862,48.86911435,51.13088565
Brewster,TX,49.05347847,44.22621865,4226,2073,1869,51.00936524,46.84703434,4805,2451,2251,29.81008251,-103.2520326,9220,4464,4756,44.2,51.7,0.1,1.7,1.1,0,7083,38906,3618,26073,2325,10.9,7.6,35.8,26.3,18,11.3,8.6,71.3,19.3,0,2.7,1.9,4.8,13.8,4151,57.2,33.7,7.4,1.7,7.1,Texas,270,5,-4.82725982,-4.162330905,0.664928915,2.928416486,0.054229935,48.4164859,51.5835141
Briscoe,TX,85.14986376,12.39782016,734,625,91,88.25966851,10.63535912,724,639,77,34.53026962,-101.2084947,1591,796,795,32.2,60.6,1.7,0,0,1,1182,42500,7062,23199,2789,13.9,17.2,31.4,15.1,23.6,19.8,10.2,79.8,5.2,0,2.4,1.6,11,20.9,729,64.2,20.2,14.3,1.4,6.2,Texas,25,1,-72.7520436,-77.62430939,-4.872265796,1.571338781,0.062853551,50.03142678,49.96857322
Bristol,RI,36.0364004,58.77451972,24725,8910,14532,39.70753656,58.65709094,11557,4589,6779,41.71018079,-71.28652315,49028,23625,25403,2.7,92.7,1.3,0,2,0,38257,74630,3265,42360,1601,7,6.7,47.2,18.3,20.9,5.5,8.1,81.2,6.5,1.7,4,1.4,5.3,25.9,25027,81,11.9,7,0.2,4.2,Rhode Island,558,19,22.73811931,18.94955438,-3.78856493,1.138125153,0.038753365,48.18675043,51.81324957
Bristol city,VA,70.11197244,26.29916738,6966,4884,1832,68.68336545,29.71098266,7785,5347,2313,,,17077,7974,9103,0.5,87.9,7.7,0,0,0,13453,37844,4812,21589,1558,21.3,36.1,35.6,18.6,24.5,7.3,14,80.1,10.7,1.2,3.6,1.6,2.9,21.1,7139,81.3,13.3,5.4,0,7.7,,0,0,-43.81280505,-38.97238279,4.840422266,0,0,46.69438426,53.30561574
Broadwater,MT,75.08059317,18.24629271,3102,2329,566,77.39151874,20.46351085,4056,3139,830,46.33277565,-111.4955813,5755,2896,2859,2.6,94.4,0.1,1.5,0,0,4584,55295,4990,32268,4469,7.8,4,36.4,17.6,15.4,18.7,11.8,74.3,10.7,0,5.4,1.3,8.2,26.5,2621,62.6,23.5,13.2,0.8,4.1,Montana,94,0,-56.83430045,-56.92800789,-0.093707438,1.633362294,0,50.3214596,49.6785404
Bronx,NY,9.592678978,88.72698596,358857,34424,318403,16.94252483,82.46470371,329638,55849,271835,40.85209301,-73.86282755,1455846,685636,770210,55.7,9.5,29.4,0.2,3.6,0,849295,36593,389,19721,199,29.7,41.8,25,33.4,23.5,7.1,11.1,23,4.4,60.2,7.6,1.8,3.1,44.2,593858,80,14.6,5.3,0.1,11.6,New York,56165,4997,79.13430698,65.52217888,-13.61212811,3.85789431,0.343236853,47.09536586,52.90463414
Brooke,WV,68.90985325,26.71907757,9540,6574,2549,70.80518018,27.65578078,10656,7545,2947,40.27367263,-80.57915332,23067,11287,11780,0.9,95.8,1.7,0,0.4,0.2,18722,48835,2697,25630,1124,13,21.6,30.9,22.4,21.2,12.5,13,85.8,6,0.3,4.7,0.5,2.7,26.1,10404,79.7,15.8,4.5,0,3.5,West Virginia,257,4,-42.19077568,-43.1493994,-0.958623718,1.114145749,0.01734079,48.93137382,51.06862618
Brookings,SD,53.21766562,38.47791798,12680,6748,4879,54.91865175,41.94412027,14567,8000,6110,44.36974375,-96.79079945,33697,17153,16544,2.6,91,1.4,1.1,2.9,0,25606,53473,2404,27197,1377,15.9,10.7,36.6,17.4,22.2,10.1,13.6,76.9,9.3,0.4,5.8,2,5.5,14.9,19080,74.6,19.6,5.6,0.3,3.3,South Dakota,1590,7,-14.73974763,-12.97453148,1.765216159,4.718520937,0.020773363,50.90364127,49.09635873
Brooks,GA,58.69495852,39.94894703,6268,3679,2504,60,39.29577465,7100,4260,2790,30.83922642,-83.58303423,15629,7531,8098,5.6,56.8,33.6,0,0.8,0,11757,34890,5889,20964,1463,23.6,40.8,27.1,16.6,23.5,16.8,16.1,82.1,9.7,0.6,0.7,2.3,4.7,24.2,5865,75.2,18.3,6.4,0.1,13.6,Georgia,601,29,-18.74601149,-20.70422535,-1.958213865,3.845415574,0.185552499,48.18606437,51.81393563
Brooks,TX,23.61325116,74.61479199,2596,613,1937,40.17713366,59.17874396,2484,998,1470,27.03103197,-98.21808402,7251,3750,3501,94.1,5.8,0.1,0,0,0,4628,24794,3253,13549,1662,41.5,62.3,25.1,28.8,22.1,12,12,84.7,10.2,0,3.2,0,1.8,21.6,2489,63.6,27.3,9.1,0,13.8,Texas,366,23,51.00154083,19.00161031,-31.99993053,5.047579644,0.317197628,51.71700455,48.28299545
Broome,NY,49.03228299,45.3429826,77657,38077,35212,52.98855974,44.59351166,72376,38351,32275,42.15903158,-75.81326086,196124,96409,99715,4,84,5.1,0.2,4.2,0,152197,49064,1113,26790,497,17.1,23,37.7,19.5,24.5,6.9,11.4,80.4,8.4,3.1,3.9,1.1,3.1,19.7,87365,75.3,19.8,4.9,0,7.2,New York,3789,108,-3.689300385,-8.395048082,-4.705747697,1.931941017,0.055067202,49.15716587,50.84283413
Broomfield,CO,38.219699,52.30035885,37342,14272,19530,34.96554852,62.36041212,46297,16188,28871,39.95998787,-105.0566324,64283,31920,32363,12.1,77.6,1,0.3,6.4,0,46152,85639,2394,43736,1707,5.2,4.7,53.3,12,22,5.9,6.8,77.9,6.4,3.6,1.1,1.8,9.3,27.9,34972,80.3,13.6,6,0.1,4,Colorado,1137,42,14.08065985,27.3948636,13.31420375,1.768741347,0.065336092,49.6554299,50.3445701
Broward,FL,31.41825173,66.4719744,822837,258521,546956,34.74460558,64.47627624,959418,333346,618597,26.15184651,-80.48725556,1890416,920265,970151,28.4,38.2,27.4,0.2,3.5,0,1247710,54895,644,30109,287,14,19.1,35.6,19.9,27.5,8.4,8.6,80,9,2.8,1.2,2.1,4.9,28.2,930561,83.1,10.6,6.2,0.1,7.6,Florida,87959,1532,35.05372267,29.73167066,-5.322052011,4.652891215,0.081040364,48.68055497,51.31944503
Brown,IL,76.02739726,20.33390411,2336,1776,475,76.49623464,19.22314705,2523,1930,485,39.96209138,-90.75068024,6791,4360,2431,3.6,73.6,21.3,0,0.6,0,5636,56289,3862,21906,2750,11.6,15.1,27.4,17,28.1,7.9,19.6,84.3,5.5,0.3,1.6,0.6,7.7,16.6,2418,71,17.7,9.8,1.5,4.7,Illinois,133,0,-55.69349315,-57.27308759,-1.579594443,1.958474451,0,64.20262112,35.79737888
Brown,IN,63.41679312,31.8411735,7908,5015,2518,64.42718884,33.71595769,8886,5725,2996,39.19605589,-86.22868909,15007,7439,7568,1.6,95.9,0.5,0,0.7,0,12173,59292,5009,31365,3149,10.6,10.1,33.3,15.2,24.5,11.5,15.4,85.6,8.4,0.2,1.1,0.2,4.5,33.3,6754,80.8,8.8,9.9,0.5,5.9,Indiana,166,3,-31.57561963,-30.71123115,0.864388476,1.106150463,0.019990671,49.57020057,50.42979943
Brown,KS,72.24747475,21.46464646,3960,2861,850,72.92993631,24.74977252,4396,3206,1088,39.82652589,-95.56421698,9736,4680,5056,4.2,83.4,0.9,7.7,0.6,0.1,7200,46964,2694,24319,1213,13.2,19.4,30.4,21.6,20.3,7.9,19.8,80.8,7.9,0.1,3.7,0.4,7.1,18.2,4589,72.9,15.5,11.5,0.2,3.4,Kansas,305,6,-50.78282828,-48.18016379,2.602664498,3.132703369,0.061626952,48.06902219,51.93097781
Brown,MN,63.73417258,27.54153553,13663,8708,3763,65.27682843,32.46753247,14630,9550,4750,44.24205652,-94.72562874,25243,12550,12693,4.1,93.9,0.3,0.1,0.7,0.1,19442,55764,1955,29696,1334,8.1,11.1,30.1,17.2,21.2,11.4,20,79.5,6.8,0.5,5,1.2,7,15.1,13588,82.1,9.4,8.4,0.2,2.3,Minnesota,422,3,-36.19263705,-32.80929597,3.383341082,1.671750584,0.011884483,49.71675316,50.28324684
Brown,NE,87.39708676,9.689677011,1579,1380,153,87.58949881,11.33651551,1676,1468,190,42.43018907,-99.92904055,3058,1468,1590,1.2,96.5,0,0.2,0.4,0,2401,42773,6964,29664,4110,16,22.3,40.2,19.2,18.7,12,9.9,74.5,6.7,0,8.5,1.8,8.4,14.5,1584,66.1,15.8,17.9,0.2,0.6,Nebraska,86,0,-77.70740975,-76.25298329,1.454426459,2.812295618,0,48.00523218,51.99476782
Brown,OH,74.49187523,22.31046554,19139,14257,4270,77.87816963,21.01428155,20586,16032,4326,38.93416837,-83.86788395,43799,21693,22106,0.9,96.6,0.8,0.1,0.3,0,33491,49188,2984,24525,1190,17.8,25.1,25.6,20.7,21.8,12.1,19.9,83.9,8.2,0.1,1.7,0.9,5.3,36.5,19122,79.6,12.4,7.8,0.3,6.5,Ohio,499,4,-52.18140969,-56.86388808,-4.682478392,1.139295418,0.009132629,49.52852805,50.47147195
Brown,SD,59.65990194,33.83603302,16113,9613,5452,60.29520716,37.25993047,17547,10580,6538,45.58994323,-98.35165355,38637,18909,19728,2.5,88.6,1.6,3.4,2.6,0,28734,53807,2779,31493,1875,11,11.4,33.2,15.9,24,10.2,16.6,83.2,8.3,0.2,2.4,1.9,3.9,12.9,20738,81.1,11.7,7,0.3,1.8,South Dakota,2313,6,-25.82386893,-23.03527669,2.78859224,5.986489634,0.015529156,48.9401351,51.0598649
Brown,TX,86.09936196,11.62090472,13949,12010,1621,85.8281054,13.19322459,15940,13681,2103,31.77430356,-98.99907113,37787,18741,19046,21.5,72.7,3.6,0.2,0.6,0,27983,43062,1925,24040,1409,16.4,24.7,33.5,17.7,22,10.8,16.1,86.3,8.9,0.3,1.5,0.6,2.3,17.3,15238,76.9,15.1,8,0,4.3,Texas,701,28,-74.47845724,-72.6348808,1.843576434,1.855135364,0.074099558,49.59642205,50.40357795
Brown,WI,52.70084786,41.85039648,127497,67192,53358,52.68000361,45.48888627,144011,75865,65509,44.4526553,-88.00411844,258004,128020,129984,8.3,81.6,2.2,2.2,3.1,0,186738,56775,1211,29874,581,11.3,15.5,34.3,16.1,24.9,8.3,16.4,83.4,7.8,0.7,2.3,1.7,4,19.1,134015,85.5,10.1,4.3,0.1,4.4,Wisconsin,16937,120,-10.85045138,-7.191117345,3.659334038,6.564626905,0.046510907,49.61938575,50.38061425
Brule,SD,68.40034965,24.95629371,2288,1565,571,70.2811245,27.02811245,2490,1750,673,43.71756379,-99.08118954,5280,2626,2654,2.5,84.8,0,9.8,0.3,0,3887,50870,3978,26074,2970,14.6,18.4,37.9,20.3,20.5,12.4,8.8,74,7.7,1.4,2.9,5.9,8.2,13.4,2691,65.9,15,15.2,3.9,2,South Dakota,334,2,-43.44405594,-43.25301205,0.191043896,6.325757576,0.037878788,49.73484848,50.26515152
Brunswick,NC,63.10311501,34.37216564,67255,42440,23117,62.0891874,36.98462712,89183,55373,32984,34.070565,-78.22814204,122586,59412,63174,4.7,81.6,10.5,0.3,0.6,0.1,99492,51164,1371,29707,687,14.1,23.7,29,21.5,25.3,13.4,10.8,79.2,11.1,0.4,1.3,1.3,6.7,24.2,48982,77.9,13.4,8.5,0.2,7.8,North Carolina,2271,52,-28.73094937,-25.10456029,3.626389086,1.852576966,0.0424192,48.46556703,51.53443297
Brunswick,VA,39.82995422,58.5088293,7645,3045,4473,42.23704076,57.27226975,7948,3357,4552,36.76366949,-77.8593436,16435,8557,7878,2.1,41.1,54.1,0.2,0.5,0,13253,40871,2708,20278,1342,20.9,40,26.3,22.2,22.9,13.6,15,84.3,8.5,0.2,1.8,2.9,2.3,29.2,6258,68.2,24.9,6.8,0.1,7.8,Virginia,427,5,18.67887508,15.03522899,-3.643646093,2.598113782,0.030422878,52.06571342,47.93428658
Bryan,GA,69.79353382,26.62152294,15063,10513,4010,66.74789128,31.579194,21340,14244,6739,32.00979311,-81.44002948,34883,17313,17570,6.6,74.3,14.6,0.5,1.5,0,24041,68589,5815,29880,1737,14.1,17,37.6,17,23.6,11.2,10.6,85.3,8,0,1.5,2.6,2.6,30,15250,75.3,18.3,6.3,0.1,7.9,Georgia,1349,17,-43.17201089,-35.16869728,8.003313606,3.867213256,0.048734341,49.63162572,50.36837428
Bryan,OK,75.85480944,20.27586207,13775,10449,2793,77.26589885,20.79994992,15976,12344,3323,33.96472458,-96.25903472,45068,21890,23178,5.6,71.9,1.8,15.1,0.5,0.1,33888,41197,1668,22171,805,17.5,23.6,30.6,20.3,22,10.4,16.7,80.8,11.1,0.3,2.5,1.6,3.6,20.2,18781,73.4,20.7,5.7,0.1,6.4,Oklahoma,1743,14,-55.57894737,-56.46594892,-0.887001555,3.867489128,0.03106417,48.57104819,51.42895181
Buchanan,IA,54.29614284,39.12400118,10137,5504,3966,59.6432553,38.73095504,10764,6420,4169,42.4709188,-91.83510825,21101,10497,10604,1.5,96.4,0.3,0.3,0.6,0,15351,59348,3103,30974,2330,7.8,9.1,30.5,16.6,19.8,12.5,20.6,79.1,6.5,0.3,5.7,2.7,5.8,22.4,10412,77.8,13.3,8.8,0.1,3.2,Iowa,576,5,-15.17214166,-20.91230026,-5.740158601,2.729728449,0.023695559,49.74645751,50.25354249
Buchanan,MO,59.93588842,33.77105419,35563,21315,12010,61.15000136,36.62190505,36713,22450,13445,39.65816401,-94.80138942,89425,44847,44578,6.4,83.8,5.4,0.2,1,0.2,66603,48652,1906,24271,804,17.3,26.5,28,19.5,23.5,8.1,21,83.5,10.7,0.8,1.5,1.2,2.3,17.4,42011,84.1,11.3,4.6,0.1,5.7,Missouri,3163,44,-26.16483424,-24.52809631,1.636737923,3.537042214,0.049203243,50.15040537,49.84959463
Buchanan,VA,79.08893709,18.6659436,9220,7292,1721,83.59485013,15.96258298,9942,8311,1587,37.26818323,-82.03749726,22611,11378,11233,0.3,95.4,2.8,0.5,0.5,0,18471,30828,1316,19241,1140,26.5,42.1,25.9,16,23.1,20.7,14.2,87.1,7.5,0.6,1.8,2.1,0.9,27.7,6679,78.3,17.6,4.1,0,8.6,Virginia,278,4,-60.42299349,-67.63226715,-7.209273657,1.229490071,0.017690505,50.3206404,49.6793596
Buckingham,VA,54.4892916,42.94343767,7284,3969,3128,56.04341391,42.80957079,8108,4544,3471,37.57242268,-78.52518834,17048,9465,7583,2.4,61.1,34.3,0.3,0.3,0.1,13682,46610,5105,19702,1281,16.6,21.4,27.8,22.8,20,16.6,12.7,81.1,11.6,1,1.5,1.2,3.6,35.5,6543,74,19,6.6,0.4,8.4,Virginia,771,9,-11.54585393,-13.23384312,-1.687989191,4.522524636,0.052792116,55.51970906,44.48029094
Bucks,PA,47.83607534,48.4163913,342572,163873,165861,47.32775969,51.62107774,389093,184149,200854,40.33682119,-75.10836643,626486,307319,319167,5,84.8,3.8,0.2,4.5,0,476133,82031,1010,41924,529,6.1,7.6,43.1,13.9,25.2,7.8,9.9,81.9,7,3.3,1.8,0.8,5.1,29.8,326994,85.9,8.8,5.2,0.2,5.4,Pennsylvania,10679,627,0.580315963,4.29331805,3.713002087,1.704587174,0.100082045,49.05440824,50.94559176
Buena Vista,IA,59.84839222,34.85756205,8179,4895,2851,61.99207136,36.16204163,8072,5004,2919,42.73545875,-95.15100162,20369,10254,10115,25,61.4,2.6,0,8.9,1.3,12715,52784,1870,26345,1389,13.7,21.5,26.3,17.1,18,8.6,29.9,71.6,15.9,0,5.3,1.6,5.5,13.9,10658,81.2,9.9,8.7,0.3,4.9,Iowa,2374,12,-24.99083017,-25.83002973,-0.839199558,11.65496588,0.058913054,50.34120477,49.65879523
Buena Vista city,VA,59.79123173,28.93528184,2395,1432,693,66.18117229,29.30728242,2815,1863,825,,,6495,2945,3550,0.7,88.3,2.5,0,7.3,0,5148,33672,2993,17969,1581,20.8,29.5,22.8,26.4,15,9.4,26.5,87.9,4.3,0,5.9,0.5,1.4,18.3,2806,84,14,2,0,4.7,,0,0,-30.8559499,-36.87388988,-6.01793998,0,0,45.34257121,54.65742879
Buffalo,NE,70.44000586,22.90374567,20477,14424,4690,70.54135402,26.9193268,23589,16640,6350,40.85486962,-99.07500296,48834,24367,24467,8.7,87.4,1.1,0.1,1.3,0,36221,55053,2413,28553,1068,14.4,15,33.4,18.2,25.4,9.6,13.4,82,9.3,0.2,3.5,1.7,3.5,14.6,27447,81,13.1,5.7,0.2,3.1,Nebraska,2066,19,-47.53626019,-43.62202722,3.914232978,4.230658967,0.038907319,49.89761232,50.10238768
Buffalo,SD,34.89795918,60.40816327,490,171,296,33.33333333,64.11657559,549,183,352,44.07657829,-99.20814467,2048,984,1064,2.4,11.8,0.4,81.3,0,2,1259,30500,6450,10960,1213,40.5,44.6,31.5,30,21.7,9.6,7.2,75.8,11.3,0,7,0.5,5.3,13,594,38.9,57.7,2.2,1.2,17,South Dakota,277,4,25.51020408,30.78324226,5.273038177,13.52539063,0.1953125,48.046875,51.953125
Buffalo,WI,58.50310649,36.56985985,6921,4049,2531,61.84749232,36.59160696,7816,4834,2860,44.37835084,-91.75332578,13243,6740,6503,2.2,95.9,0.5,0.3,0,0,10326,54753,1560,28286,878,10.7,14.9,30.5,14.8,19.7,14.3,20.7,78.2,10.6,0.2,3.1,1.5,6.4,25.1,6826,79.5,9.9,10.2,0.3,3.5,,0,0,-21.93324664,-25.25588536,-3.322638723,0,0,50.89481235,49.10518765
Bullitt,KY,72.69651079,22.89621124,36054,26210,8255,73.17700886,25.1429797,41964,30708,10551,37.97162523,-85.68955617,78622,39131,39491,1.8,94.9,0.6,0.2,0.6,0.1,60463,59917,1921,26643,768,10.2,12.7,27.3,13,26.9,11.1,21.7,85.2,10,0.1,0.7,1,3,28.1,38391,86.4,9.5,4,0.2,5.9,Kentucky,1678,15,-49.80029955,-48.03402917,1.766270383,2.134262675,0.019078629,49.77105645,50.22894355
Bulloch,GA,59.93954702,36.48710198,24151,14476,8812,61.11554315,37.372025,30084,18386,11243,32.39577406,-81.74811421,73742,36288,37454,3.7,64,28.5,0.2,1.5,0,57432,39305,2425,20526,894,30.4,32.6,32.9,21.8,21.8,9.5,14.1,79.2,10.8,1.3,2.2,2.1,4.5,21.6,32662,67.3,24.6,7.7,0.3,9.3,Georgia,3520,46,-23.45244503,-23.74351815,-0.291073116,4.773399148,0.062379648,49.20940577,50.79059423
Bullock,AL,24.22888747,75.0904063,4701,1139,3530,24.83163154,74.71214425,4603,1143,3439,32.10030533,-85.71265535,10478,5616,4862,0.3,21.6,75.6,1,0.7,0,8212,29655,5376,20856,2355,28.5,50.4,19.7,17.1,18.6,14,30.6,73.1,15.7,0.3,6.2,1.7,3,29.8,4290,81.4,13.6,5,0,12.1,Alabama,658,17,50.86151883,49.88051271,-0.981006117,6.279824394,0.162244703,53.59801489,46.40198511
Buncombe,NC,41.14209669,55.71234211,134507,55339,74937,38.70131485,59.91918187,160855,62253,96383,35.61113393,-82.53305,252268,121002,131266,6.4,83.7,6.1,0.4,1.2,0.1,195828,48464,1288,29590,671,13.2,17.9,39.6,18.9,22.8,8.7,10.1,79.5,8.2,0.6,2.1,1,8.5,20.1,123090,79.7,11.8,8.3,0.2,4.7,North Carolina,4360,109,14.57024541,21.21786702,6.647621608,1.728320675,0.043208017,47.96565557,52.03434443
