STOP_ID,TOWN,STOP_NAME,impacted_g,proportion,proporti_1,income,income_lev,impacted_p,geometry,route_ids
1617,BOSTON,Opp 67 Crown Point Dr,"25021402102,25025140102,25025130406,25025980700","0.27,0.16,0.64,0.17","0.26,0.17,0.33,0.24",50127,2,710,POINT (229168.7339000031 889702.5626999997),40
2817,BOSTON,Austin St @ Gordon Ave,"25025140300,25025140201,25025140202,25025140102,25025140107,25025140105,25025980700","0.51,0.01,0.01,0.03,1.00,0.06,0.15","0.39,0.00,0.01,0.04,0.31,0.03,0.21",47026,2,932,POINT (230794.3680000007 889711.7397999987),50
3393,MILTON,Adams St @ Pilgrim Rd,"25021418102,25021418200,25021416400,25021417200,25021417100","0.01,0.04,0.18,0.05,0.31","0.00,0.31,0.42,0.06,0.20",106165,2,533,POINT (238314.2703000009 889714.4237999991),"217,215,245"
1616,BOSTON,Margaretta Dr @ Crown Point Dr,"25021402102,25025140102,25025130406,25025980700","0.26,0.15,0.64,0.18","0.25,0.16,0.33,0.26",48507,2,698,POINT (229180.2026999965 889718.4376999997),40
14331,MILTON,Edgehill Rd @ Hollis St,"25021418200,25021416400,25021417100","0.02,0.37,0.00","0.16,0.84,0.00",119604,2,183,POINT (237657.5415000021 889726.0755000003),245
1620,BOSTON,Georgetowne Dr @ Margaretta Dr,"25021402102,25025140102,25025130406,25025980700","0.21,0.16,0.56,0.23","0.20,0.17,0.29,0.34",43546,2,617,POINT (229291.9866999984 889727.3625000007),40
76378,BOSTON,River St @ Webster St,"25021416200,25025140300,25025140201,25025140202,25025140107,25025140105,25025980700","0.02,0.66,0.01,0.29,0.53,0.11,0.00","0.03,0.51,0.00,0.22,0.16,0.05,0.00",63193,2,1182,POINT (231370.7968000025 889728.1253000014),"33,24"
1615,BOSTON,Margaretta Dr @ Georgetowne Dr,"25021402102,25025140102,25025130406,25025980700","0.21,0.16,0.58,0.23","0.21,0.17,0.30,0.33",44356,2,632,POINT (229273.0738999993 889739.0892000012),40
3560,HINGHAM,Downer Ave @ Otis St,"25023501102,25023501101","0.13,0.00","0.73,0.00",141902,3,122,POINT (249563.8169 889739.5691),220
3595,HINGHAM,Otis St @ Downer Ave,"25023501102,25023501101","0.13,0.00","0.72,0.00",141902,3,122,POINT (249580.0467000008 889743.190200001),220
16358,BOSTON,River St @ Walter St,"25021416200,25025140300,25025140201,25025140202,25025140107,25025140105,25025980700","0.02,0.66,0.01,0.29,0.50,0.12,0.00","0.04,0.52,0.00,0.22,0.15,0.06,0.00",63745,2,1178,POINT (231394.2027999982 889745.8128000014),"33,24"
4378,MILTON,Edgehill Rd @ Grafton Ave,"25021418200,25021416400,25021417100","0.02,0.36,0.01","0.17,0.82,0.01",119012,2,189,POINT (237719.6682000011 889747.0324999988),245
3094,QUINCY,Newport Ave @ Furnace Brook Pkwy,"25021417701,25021417702,25021418101,25021417100,25021417602","0.31,0.01,0.41,0.17,0.28","0.24,0.01,0.34,0.11,0.29",74206,2,1256,POINT (240330.6560000032 889757.0062000006),"217,211"
4331,MILTON,Edgehill Rd opp Grafton Ave,"25021418200,25021416400,25021417200,25021417100","0.02,0.36,0.00,0.01","0.17,0.82,0.00,0.01",119012,2,189,POINT (237736.6503999978 889757.7899999991),245
3641,WEYMOUTH,River St @ Weymouth Port,"25023501102,25021422800","0.02,0.19","0.11,0.22",99154,2,70,POINT (247455.4042999968 889761.1196000017),221
10833,DEDHAM,Dedham Mall @ Stop & Shop,"25021402102,25021402500,25021402400,25021402101,25025130402,25025130404,25025130406","0.07,0.00,0.08,0.24,0.09,0.11,0.07","0.07,0.01,0.18,0.51,0.10,0.09,0.03",86077,2,287,POINT (227391.0715999976 889764.6605999991),"70A,34E,35,52"
3043,QUINCY,Hancock St @ Butler Rd,"25021417701,25021417702,25021418101,25021417100,25021417602","0.43,0.09,0.31,0.03,0.29","0.33,0.08,0.26,0.02,0.31",71350,2,1241,POINT (240595.6633000001 889766.0731000006),"210,211,212"
3358,MILTON,Adams St @ Granite Pl,"25021418200,25021416400,25021417200,25021417100","0.04,0.23,0.06,0.22","0.26,0.52,0.07,0.14",108900,2,479,POINT (238171.1784999967 889770.5430000015),"217,215,245"
3316,QUINCY,Palmer St @ Brockton Ave,"25021417901,25021417802,25021417801","0.01,0.76,0.13","0.01,0.45,0.14",45822,2,217,POINT (243674.8295999989 889771.9204999991),"214,216"
3198,QUINCY,Newport Ave @ Furnace Brook Pwky,"25021417701,25021417702,25021418101,25021417100,25021417602","0.31,0.01,0.40,0.18,0.28","0.23,0.01,0.34,0.12,0.30",74571,2,1257,POINT (240317.3373000026 889772.0423000008),"217,211"
618,BOSTON,Washington St @ Tobin Rd,"25021402102,25021402400,25021402101,25025130402,25025130404,25025130406","0.25,0.05,0.09,0.07,0.23,0.35","0.24,0.12,0.19,0.08,0.19,0.18",75453,2,585,POINT (227953.0390999988 889779.4239000008),"70A,34E,35,34"
3392,MILTON,Adams St @ Foster Ln,"25021418200,25021416400,25021417200,25021417100","0.03,0.24,0.06,0.20","0.25,0.55,0.07,0.13",109653,2,454,POINT (238142.2312999964 889782.5714000016),"217,215,245"
3034,QUINCY,Hancock St opp Butler Rd,"25021417701,25021417702,25021418101,25021417100,25021417602","0.42,0.09,0.30,0.04,0.30","0.32,0.07,0.25,0.03,0.32",71655,2,1236,POINT (240585.4805999994 889783.9996000007),"210,245,217,212,211"
3299,QUINCY,Palmer St opp Brockton Ave,"25021417901,25021417802,25021417801","0.01,0.75,0.14","0.01,0.44,0.15",47165,2,219,POINT (243661.178199999 889786.1358999982),"214,216"
6466,BOSTON,Hyde Park Ave @ Clay Street,"25025140300,25025140201,25025140202,25025140107,25025140105,25025980700","0.60,0.01,0.10,0.92,0.17,0.06","0.47,0.00,0.07,0.28,0.08,0.09",55316,2,1127,POINT (231058.1821999997 889791.9800999984),"33,32"
43781,MILTON,Boulevard St @ Bryant Ave,"25021418200,25021416400,25021417200,25021417100","0.02,0.35,0.02,0.03","0.17,0.79,0.02,0.02",117729,2,244,POINT (237809.870099999 889793.055399999),245
4144,MILTON,Reedsdale Rd @ Central Ave,"25021416300,25021416200,25021416101","0.31,0.18,0.06","0.42,0.32,0.27",132769,3,335,POINT (234569.2408000007 889810.7661999986),"240,245"
619,BOSTON,Washington St @ Meshaka St,"25021402102,25021402400,25021402101,25025130402,25025130404,25025130406","0.25,0.04,0.08,0.07,0.25,0.40","0.24,0.10,0.17,0.08,0.20,0.21",73922,2,621,POINT (228005.8559999987 889818.1508000009),"70A,34E,35,34"
3359,MILTON,Adams St @ Church St,"25021418200,25021416400,25021417200,25021417100","0.03,0.28,0.05,0.13","0.20,0.65,0.07,0.08",112615,2,382,POINT (238014.4780000001 889819.5843999982),"217,215,245"
4203,MILTON,Reedsdale Rd @ Brook Rd,"25021416300,25021416200,25021416101","0.31,0.18,0.06","0.43,0.31,0.26",132977,3,335,POINT (234572.8940000013 889823.5234000012),"240,245"
3391,MILTON,Adams St @ Mechanic St,"25021418200,25021416400,25021417200,25021417100","0.03,0.29,0.05,0.11","0.19,0.67,0.06,0.07",113607,2,366,POINT (237982.1449000016 889827.8275999986),"217,215,245"
6521,BOSTON,Turtle Pond Pkwy @ Dedham Pkwy,"25021402102,25025140102,25025140107,25025130406,25025980700","0.03,0.14,0.15,0.32,0.42","0.03,0.15,0.05,0.16,0.60",26183,0,382,POINT (229694.1733999997 889829.2793000005),"33,40"
8950,BOSTON,Dedham Pkwy @ Turtle Pond Pkwy,"25021402102,25025140102,25025140107,25025130406,25025980700","0.03,0.14,0.14,0.33,0.42","0.03,0.15,0.04,0.17,0.60",25955,0,386,POINT (229682.4695999995 889838.0194999985),33
4409,MILTON,Brook Rd @ Pleasant St,"25021416400,25021416300,25021416101","0.43,0.00,0.00","0.98,0.00,0.01",125187,2,190,POINT (237030.8478000015 889840.2727999985),245
4405,MILTON,Brook Rd @ Reedsdale Rd,"25021416300,25021416200,25021416101","0.32,0.17,0.06","0.44,0.29,0.27",133732,3,334,POINT (234612.797799997 889840.8339000009),245
4400,MILTON,Brook Rd @ Pleasant St,"25021416400,25021416300,25021416101","0.43,0.00,0.00","0.99,0.00,0.01",125185,2,190,POINT (237057.9958000034 889842.1508999988),245
4410,MILTON,Brook Rd @ Otis St,"25021416400,25021416101","0.43,0.00","0.99,0.00",124961,2,190,POINT (237141.1740000024 889847.9730000012),245
4399,MILTON,Brook Rd @ Otis St,"25021416400,25021416101","0.43,0.00","0.99,0.00",124961,2,190,POINT (237161.4623000026 889849.3832999989),245
3317,QUINCY,Palmer St @ Empire St,"25021417702,25021417901,25021417802,25021417801","0.00,0.01,0.67,0.18","0.00,0.01,0.39,0.19",52976,2,219,POINT (243578.7509000003 889853.4807999991),"214,216"
4404,MILTON,Brook Rd @ Central Ave,"25021416300,25021416200,25021416101","0.33,0.18,0.05","0.45,0.32,0.23",132482,3,342,POINT (234532.7065000013 889857.2388999984),245
