,GEO_ID,public_transport,walking,other,total_employed,impacted_pop
705,25017350300,743,209,92,2104,1044
706,25017350400,2157,188,628,4487,2973
707,25017350500,496,109,37,1070,642
708,25017350600,791,698,176,2782,1665
709,25017350700,1299,394,105,3825,1798
710,25017350800,763,57,90,1652,910
711,25017350900,1446,123,155,3049,1724
712,25017351000,2434,867,489,5692,3790
713,25017351100,1268,605,425,4478,2298
714,25017351203,827,991,557,3395,2375
715,25017351204,880,548,399,3186,1827
716,25017351300,662,489,344,2810,1495
717,25017351403,1167,181,157,2652,1505
718,25017351404,662,270,197,2311,1129
719,25017351500,435,223,230,1608,888
720,25017352101,434,466,78,1743,978
721,25017352102,339,533,128,1561,1000
722,25017352200,380,265,78,1011,723
723,25017352300,827,836,130,2582,1793
724,25017352400,418,271,125,1111,814
725,25017352500,835,500,343,2329,1678
726,25017352600,414,550,179,1671,1143
727,25017352700,222,364,89,1242,675
728,25017352800,541,290,198,1675,1029
729,25017352900,367,545,238,2063,1150
730,25017353000,1155,216,193,2351,1564
731,25017353101,578,442,87,1539,1107
732,25017353102,250,1575,192,2523,2017
733,25017353200,915,1047,298,3320,2260
734,25017353300,805,432,387,2856,1624
735,25017353400,687,461,228,2010,1376
736,25017353500,441,309,232,1693,982
737,25017353600,640,1040,229,2820,1909
738,25017353700,581,1134,244,2960,1959
739,25017353800,911,733,297,2882,1941
740,25017353900,475,1584,173,3116,2232
741,25017354000,458,924,169,2709,1551
742,25017354100,440,508,127,1609,1075
743,25017354200,325,197,200,1685,722
744,25017354300,396,104,170,1838,670
745,25017354400,194,138,140,1041,472
746,25017354500,442,220,180,1491,842
747,25017354600,995,161,226,3220,1382
748,25017354700,751,166,131,1755,1048
749,25017354800,654,173,191,1669,1018
750,25017354900,1973,209,189,4429,2371
751,25017355000,873,63,46,1998,982
752,25017356100,649,0,152,2099,801
753,25017356300,472,17,266,3087,755
754,25017356400,535,95,45,4102,675
755,25017356500,587,130,234,3829,951
756,25017356601,447,60,24,2473,531
757,25017356602,428,77,24,2504,529
758,25017356701,934,83,199,3415,1216
759,25017356702,774,116,127,3635,1017
760,25017357100,402,51,44,2095,497
761,25017357200,351,76,106,1780,533
762,25017357300,306,54,29,1852,389
763,25017357400,150,7,36,1147,193
764,25017357500,164,40,35,1212,239
765,25017357600,224,37,25,1368,286
766,25017357700,378,47,100,1769,525
767,25017357800,190,46,14,1788,250
768,25017358100,222,50,60,2727,332
769,25017358300,292,48,57,2492,397
