,name,lat,lng,vicinity,business_status,permanently_closed ,rating ,user_ratings_total ,source,type,volient_no,expired
335,Bertucci's Italian Restaurant,42.2963497,-71.15747089999998,"683 VFW Parkway, Chestnut Hill",OPERATIONAL,False,3.8,473,GOOGLE,"restaurant,food,point_of_interest,establishment",,
336,Starbucks,42.30325999999999,-71.15206599999998,"183 Grove Street, Chestnut Hill",OPERATIONAL,False,4.0,95,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",66,True
337,Kelleher's Bar & Grille,42.29384900000001,-71.13627799999998,"1410 Centre Street, Roslindale",OPERATIONAL,False,4.5,81,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
338,Putterham Grille,42.303540999999996,-71.15212,"1012 West Roxbury Parkway, Chestnut Hill",OPERATIONAL,False,4.3,76,GOOGLE,"restaurant,food,point_of_interest,establishment",,
339,Misono,42.29632600000001,-71.157124,"669 VFW Parkway, Chestnut Hill",OPERATIONAL,False,4.3,238,GOOGLE,"restaurant,food,point_of_interest,establishment",,
340,Bruegger's Bagels,42.296434999999995,-71.1570096,"667 VFW Parkway, Chestnut Hill",OPERATIONAL,False,3.8,113,GOOGLE,"bakery,cafe,restaurant,food,point_of_interest,store,establishment",,
341,Mandarin Gourmet,42.303743700000005,-71.152289,"1020 West Roxbury Parkway, Chestnut Hill",OPERATIONAL,False,4.4,188,GOOGLE,"restaurant,food,point_of_interest,establishment",,
342,Goldberg's Deli and Grill,42.295028,-71.20298439999998,"1 Wells Avenue, Newton",OPERATIONAL,False,4.0,30,GOOGLE,"restaurant,food,point_of_interest,establishment",,
343,Starbucks,42.29325100000001,-71.235089,"910 Highland Avenue, Needham",OPERATIONAL,False,4.0,209,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",66,True
344,Blue On Highland,42.293699200000006,-71.23509539999998,"882 Highland Avenue, Needham",OPERATIONAL,False,4.2,353,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
345,Spiga,42.306001200000004,-71.2177801,"18 Highland Circle, Needham",OPERATIONAL,False,4.5,222,GOOGLE,"restaurant,food,point_of_interest,establishment",,
346,Panera Bread,42.304853,-71.21869199999998,"120 Highland Avenue, Needham",OPERATIONAL,False,4.0,600,GOOGLE,"cafe,bakery,meal_takeaway,restaurant,food,point_of_interest,store,establishment",216,True
347,Three Squares Craft Kitchen & Cocktails,42.29901040000001,-71.23186170000001,"669 Highland Avenue, Needham",OPERATIONAL,False,4.0,319,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
348,Town House of Pizza,42.293521999999996,-71.23505,"892 Highland Avenue, Needham",OPERATIONAL,False,4.2,119,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
349,Mandarin Cuisine,42.30379629999999,-71.220923,"238 Highland Avenue, Needham",OPERATIONAL,False,4.2,185,GOOGLE,"restaurant,food,point_of_interest,establishment",,
350,Mighty Subs,42.3037937,-71.22132380000001,"250 Highland Avenue, Needham",OPERATIONAL,False,4.7,417,GOOGLE,"restaurant,food,point_of_interest,establishment",,
351,Gianni's Deli and Pizza,42.2941847,-71.23572229999998,"853 Highland Avenue, Needham",OPERATIONAL,False,4.3,63,GOOGLE,"restaurant,food,point_of_interest,store,establishment",,
352,Hungry Coyote,42.2860629,-71.235658,"1185 Highland Avenue, Needham",OPERATIONAL,False,4.7,263,GOOGLE,"restaurant,food,point_of_interest,establishment",,
353,Burger King,42.3128938,-71.03714699999998,"100 William T Morrissey Boulevard, Dorchester",CLOSED_TEMPORARILY,True,3.7,38,GOOGLE,"restaurant,food,point_of_interest,establishment",819,True
354,Fiskie's Cafe,42.3189026,-71.04226969999998,"27 Harbor Point Boulevard, Dorchester",OPERATIONAL,False,3.5,53,GOOGLE,"restaurant,food,point_of_interest,establishment",128,True
355,Reelhouse Marina Bay,42.3004331,-71.0308043,"552 Victory Road, Quincy",CLOSED_TEMPORARILY,True,3.9,130,GOOGLE,"restaurant,food,point_of_interest,establishment",,
356,Shanti Restaurant,42.312644399999996,-71.05748059999998,"1111 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.2,471,GOOGLE,"restaurant,food,point_of_interest,establishment",,
357,dbar,42.308423100000006,-71.0579946,"1236 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.5,260,GOOGLE,"restaurant,night_club,bar,food,point_of_interest,establishment",,
358,The Banshee,42.318971999999995,-71.0565806,"934 Dorchester Avenue, Boston",OPERATIONAL,False,4.5,490,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
359,McKenna's Cafe,42.31153150000001,-71.0539532,"107-109 Savin Hill Avenue, Dorchester",OPERATIONAL,False,4.2,887,GOOGLE,"cafe,restaurant,food,point_of_interest,establishment",,
360,Savin Bar and Kitchen,42.31163319999999,-71.05351759999998,"116 Savin Hill Avenue, Dorchester",OPERATIONAL,False,4.1,396,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
361,Burger King,42.309272899999996,-71.05774240000001,"1208 Dorchester Avenue, Dorchester",OPERATIONAL,False,3.5,785,GOOGLE,"restaurant,food,point_of_interest,establishment",819,True
362,Upham's House Of Pizza,42.31659439999999,-71.06614259999998,"566 Columbia Road, Dorchester",OPERATIONAL,False,3.8,452,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
363,HARP + BARD,42.3130657,-71.0574558,"1099 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.3,477,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
364,La Parrilla Restaurant,42.3082356,-71.05866639999998,"299 Hancock Street, Boston",OPERATIONAL,False,4.2,117,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
365,Jerk,42.307959999999994,-71.06541999999999,"310 Bowdoin Street, Dorchester",OPERATIONAL,False,3.9,61,GOOGLE,"restaurant,food,point_of_interest,establishment",25,True
366,KFC,42.319986799999995,-71.06175449999998,"695 Columbia Road, Dorchester",OPERATIONAL,False,3.6,753,GOOGLE,"restaurant,food,point_of_interest,establishment",24,False
367,Boston Pizza Grill,42.315856700000005,-71.06608039999998,"535 Columbia Road, Dorchester",OPERATIONAL,False,4.0,379,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
368,Restaurante Cesaria,42.306898,-71.066608,"266 Bowdoin Street, Boston",OPERATIONAL,False,4.2,512,GOOGLE,"restaurant,food,point_of_interest,establishment",238,False
369,Hong Kong Chef,42.31993609999999,-71.05698170000001,"889 Dorchester Avenue A, Dorchester",OPERATIONAL,False,3.5,100,GOOGLE,"restaurant,food,point_of_interest,establishment",,
370,Dunkin',42.30843470000001,-71.0580257,"1236 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.2,173,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
371,Ba Le Restaurant,42.3147944,-71.05666939999998,"1052 Dorchester Avenue, Boston",OPERATIONAL,False,4.6,587,GOOGLE,"restaurant,food,point_of_interest,establishment",,
372,Pantry Pizza & Kitchen,42.318871200000004,-71.0569124,"931 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.2,350,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",77,True
373,Canton House,42.3156632,-71.06591039999998,"6 Hancock Street, Boston",OPERATIONAL,False,3.8,124,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
374,One Family Diner,42.3067645,-71.06676759999998,"260 Bowdoin Street, Dorchester",OPERATIONAL,False,4.1,325,GOOGLE,"restaurant,food,point_of_interest,establishment",,
375,Pete's Pizza & Seafood,42.30659980000001,-71.0664772,"267 Bowdoin Street, Dorchester",OPERATIONAL,False,3.9,87,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
376,Lucky Cafe,42.3127356,-71.0574738,"1107 Dorchester Avenue, Dorchester",OPERATIONAL,False,4.3,63,GOOGLE,"restaurant,food,point_of_interest,establishment",,
377,Mythos Pizza,42.30513299999999,-71.06806,"203 Bowdoin Street, Boston",OPERATIONAL,False,3.5,120,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",178,True
378,Merengue Restaurant,42.319190000000006,-71.077559,"156 Blue Hill Avenue, Boston",OPERATIONAL,False,4.0,1032,GOOGLE,"restaurant,food,point_of_interest,establishment",,
379,Popeyes Louisiana Kitchen,42.3185467,-71.082893,"330 Martin Luther King Jr Boulevard, Roxbury",OPERATIONAL,False,3.7,796,GOOGLE,"restaurant,food,point_of_interest,establishment",,
380,Grove Hall Pizza,42.309520000000006,-71.08289599999998,"661 Warren Street, Boston",OPERATIONAL,False,3.6,111,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",108,True
381,Reggie's,42.308269700000004,-71.08359500000002,"493A Blue Hill Avenue, Boston",OPERATIONAL,False,4.5,4,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
382,The Rotisserie,42.3097838,-71.08300109999998,"651 Warren Street, Dorchester",CLOSED_TEMPORARILY,True,3.5,54,GOOGLE,"restaurant,food,point_of_interest,establishment",92,True
383,Dacia Family Market and Deli,42.3145277,-71.07763929999999,"16 Dacia Street, Dorchester",OPERATIONAL,False,4.7,14,GOOGLE,"grocery_or_supermarket,restaurant,food,point_of_interest,store,establishment",,
384,Flames III,42.30901129999999,-71.0832465,"469 Blue Hill Avenue, Dorchester",OPERATIONAL,False,4.2,753,GOOGLE,"restaurant,food,point_of_interest,establishment",,
385,McDonald's,42.31560899999999,-71.097931,"3064 Washington Street, Roxbury",OPERATIONAL,False,3.1,661,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",824,True
386,Sun Pizza,42.307086299999995,-71.082098,"46 Washington Street, Dorchester",OPERATIONAL,False,3.8,161,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,store,establishment",,
387,The Dining Car,42.314165,-71.1033369,"31 Germania Street, Boston",OPERATIONAL,False,4.0,3,GOOGLE,"restaurant,food,point_of_interest,establishment",48,True
388,Crown Fried Chicken,42.3190189,-71.081187,"344 Warren Street, Roxbury",OPERATIONAL,False,4.2,166,GOOGLE,"restaurant,food,point_of_interest,establishment",238,True
389,Dunkin',42.3094081,-71.0820839,"456 Blue Hill Avenue, Dorchester",OPERATIONAL,False,3.9,606,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
390,Island Style,42.30333089999999,-71.07875059999999,"183 Washington Street, Boston",OPERATIONAL,False,4.2,194,GOOGLE,"restaurant,food,point_of_interest,establishment",,
391,What A Deal Variety Store & Restaurant,42.31004179999999,-71.082785,"636 Warren Street, Dorchester",OPERATIONAL,False,3.4,7,GOOGLE,"restaurant,food,point_of_interest,store,establishment",,
392,Lucky Boston,42.3150539,-71.098778,"3096 Washington Street, Roxbury",OPERATIONAL,False,4.2,189,GOOGLE,"restaurant,food,point_of_interest,establishment",,
393,Hatoff's Gas Station,42.3071372,-71.105882,"3440 Washington Street, Boston",OPERATIONAL,False,3.4,33,GOOGLE,"gas_station,atm,convenience_store,meal_takeaway,finance,restaurant,food,point_of_interest,store,establishment",,
394,Levi's Restaurant,42.2999173,-71.0744508,"323 Washington Street, Dorchester",OPERATIONAL,False,4.0,31,GOOGLE,"night_club,bar,restaurant,food,point_of_interest,establishment",,
395,EL DUGOUT,42.3099932,-71.09162090000001,"122 Seaver Street, Dorchester",OPERATIONAL,False,4.1,432,GOOGLE,"restaurant,food,point_of_interest,establishment",0,True
396,La Esquina Restaurant,42.302907700000006,-71.0850348,"624 Blue Hill Avenue, Boston",OPERATIONAL,False,4.2,34,GOOGLE,"restaurant,food,point_of_interest,establishment",19,True
397,Ten Tables,42.314905100000004,-71.1142198,"597 Centre Street, Jamaica Plain",OPERATIONAL,False,4.5,266,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
398,Tres Gatos,42.3190861,-71.11165,"470 Centre Street, Jamaica Plain",OPERATIONAL,False,4.6,497,GOOGLE,"book_store,electronics_store,home_goods_store,bar,restaurant,food,point_of_interest,store,establishment",,
399,Vee Vee,42.3102778,-71.11527779999999,"763 Centre Street, Jamaica Plain",OPERATIONAL,False,4.6,156,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",84,False
400,JP Seafood Cafe,42.310867200000004,-71.1144621,"730 Centre Street, Jamaica Plain",OPERATIONAL,False,4.5,562,GOOGLE,"restaurant,food,point_of_interest,establishment",,
401,Canary Square,42.319796000000004,-71.11197,"435 South Huntington Avenue, Jamaica Plain",OPERATIONAL,False,4.2,575,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",87,False
402,Cafe Beirut,42.3130289,-71.11394469999998,"654 Centre Street, Jamaica Plain",OPERATIONAL,False,4.2,262,GOOGLE,"restaurant,food,point_of_interest,establishment",158,False
403,Purple Cactus,42.3121933,-71.1140471,"674 Centre Street, Jamaica Plain",OPERATIONAL,False,4.3,426,GOOGLE,"restaurant,food,point_of_interest,establishment",,
404,Fiore's Bakery,42.30795,-71.11576,"55 South Street, Jamaica Plain",OPERATIONAL,False,4.6,355,GOOGLE,"bakery,meal_takeaway,restaurant,food,point_of_interest,store,establishment",,
405,The Real Deal,42.31079800000001,-71.1144845,"736 Centre Street, Jamaica Plain",OPERATIONAL,False,4.2,299,GOOGLE,"restaurant,food,point_of_interest,establishment",842,False
406,Costello's Tavern,42.3111785,-71.1146437,"723 Centre Street, Jamaica Plain",CLOSED_TEMPORARILY,True,4.2,208,GOOGLE,"restaurant,food,point_of_interest,establishment",,
407,City Feed and Supply,42.317188200000004,-71.1063538,"66 Boylston Street, Jamaica Plain",OPERATIONAL,False,4.6,134,GOOGLE,"grocery_or_supermarket,cafe,restaurant,food,point_of_interest,store,establishment",,
408,J P House of Pizza,42.3100098,-71.1154318,"775 Centre Street, Jamaica Plain",OPERATIONAL,False,4.2,134,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",73,False
409,El Oriental De Cuba,42.3207514,-71.1104593,"416 Centre Street, Jamaica Plain",OPERATIONAL,False,4.6,1090,GOOGLE,"restaurant,food,point_of_interest,establishment",93,False
410,JPizle Kitchen,42.31690649999999,-71.11326700000001,"536 Centre Street, Jamaica Plain",OPERATIONAL,False,4.1,362,GOOGLE,"restaurant,meal_takeaway,cafe,food,point_of_interest,store,establishment",,
411,Chilacates Centre St,42.312794399999994,-71.1139752,"658 Centre Street, Boston",OPERATIONAL,False,4.6,451,GOOGLE,"restaurant,food,point_of_interest,establishment",,
412,[FoMu],42.314309,-71.114235,"617 Centre Street, Jamaica Plain",OPERATIONAL,False,4.7,145,GOOGLE,"bakery,cafe,restaurant,food,point_of_interest,store,establishment",,
413,Chilacates Amory St,42.316370500000005,-71.1031721,"224 Amory Street, Boston",OPERATIONAL,False,4.7,855,GOOGLE,"restaurant,food,point_of_interest,establishment",,
414,Vineripe Grill,42.3097049,-71.1602011,"1281 West Roxbury Parkway, Chestnut Hill",OPERATIONAL,False,4.5,10,GOOGLE,"restaurant,food,point_of_interest,establishment",,
415,sweetgreen,42.318760499999996,-71.1758602,"210 Boylston Street, Chestnut Hill",OPERATIONAL,False,4.2,225,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",,
416,Sushi Man,42.319244,-71.184714,"387 Boylston Street, Newton",OPERATIONAL,False,4.5,213,GOOGLE,"restaurant,food,point_of_interest,establishment",,
417,Dunn-Gaherin's Food and Spirits,42.312721999999994,-71.22391400000001,"344 Elliot Street, Newton",OPERATIONAL,False,4.6,527,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
418,The Biltmore Bar & Grille,42.309189700000005,-71.2211671,"1205 Chestnut Street, Newton",OPERATIONAL,False,4.2,587,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
419,Chipotle Mexican Grill,42.308208799999996,-71.215051,"300 Needham Street Spc 107.2, Newton",OPERATIONAL,False,3.9,343,GOOGLE,"restaurant,food,point_of_interest,establishment",142,False
420,New England Soup Factory,42.309593299999996,-71.2143933,"244 Needham Street, Newton",OPERATIONAL,False,4.4,370,GOOGLE,"restaurant,food,point_of_interest,establishment",,
421,bp,42.3189652,-71.21076049999998,"964 Boylston Street, Newton",OPERATIONAL,False,3.4,30,GOOGLE,"gas_station,atm,car_wash,convenience_store,finance,restaurant,food,point_of_interest,store,establishment",,
422,Farm Grill and Rottiserie,42.315794,-71.20983000000001,"40 Needham Street, Newton Highlands",OPERATIONAL,False,4.5,475,GOOGLE,"restaurant,food,point_of_interest,establishment",,
423,Starbucks,42.309545,-71.21441,"244 Needham Street, Newton",OPERATIONAL,False,4.3,177,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",66,True
424,Neighborhood Restaurant Group,42.309285100000004,-71.2209321,"1215 Chestnut Street, Newton",OPERATIONAL,False,3.0,2,GOOGLE,"restaurant,food,point_of_interest,establishment",,
425,BrickFire Pizza Co.,42.3096685,-71.2211073,"1214 Chestnut Street, Newton",OPERATIONAL,False,4.4,156,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
426,Five Guys,42.310597200000004,-71.21442490000001,"215 Needham Street, Newton",OPERATIONAL,False,4.2,445,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",6,False
427,Anthony's Coal Fired Pizza,42.3115528,-71.2130583,"180 Needham Street, Newton",CLOSED_TEMPORARILY,True,4.3,340,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",,
428,B.GOOD,42.315637,-71.21045,"55 Needham Street, Newton",OPERATIONAL,False,4.1,289,GOOGLE,"restaurant,food,point_of_interest,establishment",,
429,Brothers Pizza & Restaurant,42.3102778,-71.2286111,"201 Reservoir Street, Needham",OPERATIONAL,False,4.5,130,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
430,McDonald's,42.31376700000001,-71.21222,"111 Needham Street, Newton",OPERATIONAL,False,3.8,724,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",824,True
431,Dunkin',42.312836,-71.2120758,"138 Needham Street, Newton",OPERATIONAL,False,4.2,249,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
432,Echo Bridge Restaurant & Cafe,42.3125702,-71.2245301,"1068 Chestnut Street, Newton",OPERATIONAL,False,4.5,119,GOOGLE,"restaurant,food,point_of_interest,establishment",,
433,Bob's Sub Stop,42.312908,-71.2214257,"295 Elliot Street, Newton Upper Falls",OPERATIONAL,False,4.2,36,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,store,establishment",,
434,Panellas Market,42.31119869999999,-71.2284885,"50 Central Avenue, Needham Heights",OPERATIONAL,False,4.7,43,GOOGLE,"convenience_store,restaurant,food,point_of_interest,store,establishment",,
435,Chef Mike's Cucina,42.3057345,-71.218171,"73 Highland Avenue, Needham",OPERATIONAL,False,4.4,68,GOOGLE,"restaurant,food,point_of_interest,establishment",,
436,Pressed Cafe,42.3078467,-71.214638,"300 Needham Street, Newton",OPERATIONAL,False,4.6,102,GOOGLE,"restaurant,cafe,bar,food,point_of_interest,establishment",,
437,Jean and Lee Kitchen,42.309068599999996,-71.2201688,"108 Oak Street, Newton",OPERATIONAL,False,4.4,263,GOOGLE,"restaurant,food,point_of_interest,establishment",,
438,Good NU Hospitality,42.30922280000001,-71.2208069,"1215 Chestnut Street, Newton",OPERATIONAL,False,5.0,1,GOOGLE,"restaurant,food,point_of_interest,establishment",,
439,District 118 Kitchen & Bar,42.3132037,-71.21135699999998,"118 Needham Street, Newton",OPERATIONAL,False,4.4,247,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
440,Dunkin',42.318914299999996,-71.20999350000001,"940 Boylston Street, Newton",OPERATIONAL,False,3.9,249,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
441,Great Wok Wellesley,42.31535659999999,-71.24494,"180 Worcester Street, Wellesley",OPERATIONAL,False,4.5,148,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
442,Salty's,42.3219307,-70.9873082,"Spectacle Island, North Quincy",CLOSED_TEMPORARILY,True,3.7,6,GOOGLE,"restaurant,food,point_of_interest,establishment",11,True
443,Local 149,42.33311669999999,-71.0273747,"149 P Street, Boston",OPERATIONAL,False,4.3,350,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",119,False
444,Cafe Mamtaz,42.3342849,-71.03544000000001,"87 L Street, Boston",OPERATIONAL,False,4.1,57,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",89,False
445,Sidewalk Cafe South Boston,42.33493719999999,-71.03346379999998,"764 East 4th Street, South Boston",OPERATIONAL,False,4.6,83,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",,
446,L Street Diner & Pizzeria,42.334051,-71.035083,"108 L Street, South Boston",OPERATIONAL,False,4.3,185,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
447,Sal's Pizza,42.3313774,-71.03538809999998,"205 L Street, Boston",OPERATIONAL,False,4.4,115,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
448,Sixth Gear - Cask & Kitchen,42.33470200000001,-71.03558799999998,"81 L Street, Boston",OPERATIONAL,False,4.3,108,GOOGLE,"restaurant,food,point_of_interest,establishment",,
449,Seapoint,42.331112700000006,-71.0463381,"367 East 8th Street, South Boston",OPERATIONAL,False,4.5,188,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
450,Mirisolas,42.331368,-71.03508599999998,"200 L Street, Boston",OPERATIONAL,False,4.6,62,GOOGLE,"restaurant,food,point_of_interest,establishment",,
451,Dunkin',42.31288120000001,-71.03697780000002,"University of Massachusetts Boston, 100 Morrissey Boulevard, Boston",CLOSED_TEMPORARILY,True,3.2,5,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
452,Olive Garden Italian Restaurant,42.3261493,-71.0631303,"11B Allstate Road, Dorchester",OPERATIONAL,False,3.9,2110,GOOGLE,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment",,
453,Victoria's Diner,42.3270427,-71.06677429999998,"1024 Massachusetts Avenue, Boston",OPERATIONAL,False,4.0,1496,GOOGLE,"restaurant,food,point_of_interest,establishment",298,True
454,"224 Boston Restaurant Takeout, Delivery, Catering, Dorchester MA.",42.3222589,-71.060855,"224 Boston Street, Dorchester",OPERATIONAL,False,4.5,302,GOOGLE,"restaurant,food,point_of_interest,establishment",,
455,Domino's Pizza,42.3341348,-71.0549515,"163 Old Colony Avenue, Boston",OPERATIONAL,False,2.6,248,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",824,True
456,Applebee's Grill + Bar,42.3260139,-71.0636375,"11A Allstate Road, Dorchester",OPERATIONAL,False,3.9,1682,GOOGLE,"restaurant,bar,food,point_of_interest,establishment",,
457,Panera Bread,42.3261664,-71.0620699,"8 Allstate Road Suite 3, Dorchester",OPERATIONAL,False,4.0,388,GOOGLE,"cafe,bakery,meal_takeaway,restaurant,food,point_of_interest,store,establishment",216,True
458,Dunkin',42.320854,-71.060912,"256 Boston Street, Dorchester",OPERATIONAL,False,4.1,494,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
459,Home Run Cafe,42.3214833,-71.06261669999998,"1261 Massachusetts Avenue, Boston",OPERATIONAL,False,3.9,237,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",38,False
460,Starbucks,42.325640299999996,-71.06311550000001,"36 District Avenue, Dorchester",OPERATIONAL,False,3.8,275,GOOGLE,"cafe,restaurant,food,point_of_interest,store,establishment",66,True
461,The Bistro – Eat. Drink. Connect.®,42.32675009999999,-71.0602821,"63 Boston Street, Boston",CLOSED_TEMPORARILY,True,3.3,9,GOOGLE,"restaurant,food,point_of_interest,establishment",,
462,Top Mix Bar & Kitchen,42.3237931,-71.06807579999999,"257 Norfolk Avenue, Boston",OPERATIONAL,False,4.4,263,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",82,False
463,Domino's Pizza,42.3312379,-71.09533490000001,"1400 Tremont Street Space D, Boston",OPERATIONAL,False,2.7,534,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",824,True
464,Peking House,42.3289266,-71.08290229999999,"160 Dudley Street, Roxbury",OPERATIONAL,False,4.2,220,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
465,Alex's Chimis,42.322241,-71.10765400000001,"358 Centre Street, Jamaica Plain",OPERATIONAL,False,4.4,935,GOOGLE,"restaurant,food,point_of_interest,establishment",,
466,AK's Takeout & Delivery,42.331854,-71.096325,"1427 Tremont Street, Boston",OPERATIONAL,False,3.9,322,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
467,Suya Joint Restaurant,42.3283333,-71.0819444,"185 Dudley Street, Boston",OPERATIONAL,False,4.1,501,GOOGLE,"restaurant,food,point_of_interest,establishment",,
468,Simon's Seafood Market & Take-Out,42.32884129999999,-71.0832848,"154 Dudley Street, Boston",OPERATIONAL,False,3.9,83,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",,
469,P & R Restaurant,42.3285744,-71.08106250000002,"208 Dudley Street, Boston",OPERATIONAL,False,4.0,166,GOOGLE,"restaurant,food,point_of_interest,store,establishment",,
470,Maxine's On Saint James,42.3279626,-71.07747059999998,"304 Dudley Street, Boston",OPERATIONAL,False,4.1,134,GOOGLE,"restaurant,food,point_of_interest,establishment",,
471,Jamaica Mi Hungry,42.322939500000004,-71.09936859999998,"225 Centre Street, Boston",OPERATIONAL,False,4.4,142,GOOGLE,"restaurant,food,point_of_interest,establishment",27,False
472,Dunkin',42.3293654,-71.08433649999998,"At Dudley T Station, 2360 Washington Street, Roxbury",OPERATIONAL,False,3.9,160,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
473,The Kinsale Irish Pub & Restaurant,42.329774,-71.09177740000001,"2 Center Plaza, Boston",CLOSED_TEMPORARILY,True,4.1,914,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
474,Bintimani Restaurant,42.330677,-71.08254240000001,"1127 Harrison Avenue, Boston",OPERATIONAL,False,4.3,25,GOOGLE,"restaurant,food,point_of_interest,establishment",,
475,Ashur Restaurant,42.33038060000001,-71.0944,"291 Roxbury Street, Roxbury",OPERATIONAL,False,4.4,272,GOOGLE,"restaurant,food,point_of_interest,establishment",0,True
476,Yummy Yummy,42.329435499999995,-71.0843691,"2360 Washington Street, Roxbury",OPERATIONAL,False,4.0,57,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",277,True
477,Yely's Restaurant,42.32277490000001,-71.10201219999998,"284 Centre Street, Jamaica Plain",OPERATIONAL,False,4.4,342,GOOGLE,"restaurant,food,point_of_interest,store,establishment",,
478,Boston Salads & Prepared Foods,42.32951509999999,-71.07122629999998,"26-32 Chesterton Street, Boston",OPERATIONAL,False,4.6,12,GOOGLE,"meal_takeaway,restaurant,food,point_of_interest,establishment",,
479,Nubian Square Grille,42.328766200000004,-71.0833218,"150 Dudley Street, Roxbury",OPERATIONAL,False,3.8,216,GOOGLE,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",,
480,The Old Havana Cuban Restaurant,42.3227017,-71.1067468,"349 Centre Street, Jamaica Plain",OPERATIONAL,False,4.4,241,GOOGLE,"restaurant,food,point_of_interest,establishment",,
481,Dayib Cafe,42.33284329999999,-71.0832746,"722 Shawmut Avenue, Roxbury",OPERATIONAL,False,4.5,27,GOOGLE,"restaurant,food,point_of_interest,establishment",,
482,Dunkin',42.331964500000005,-71.09675809999999,"1443 Tremont Street, Boston",OPERATIONAL,False,4.0,128,GOOGLE,"bakery,meal_takeaway,cafe,restaurant,food,point_of_interest,store,establishment",,
