branch,num_of_instance
1343,11
1980,11
91,11
1283,11
2303,11
2270,11
3293,11
642,11
3723,11
318,11
572,11
2834,11
3544,11
592,11
444,11
562,11
746,11
3024,11
939,11
3114,11
3833,11
279,11
2470,10
2118,10
3753,10
1951,10
3651,10
2748,10
376,10
765,10
1635,10
2199,10
674,10
1187,10
467,10
3491,10
2905,10
1595,10
2931,10
2226,10
3346,10
2056,10
2705,10
3130,10
1102,10
3261,10
3747,10
551,10
1803,10
3643,10
2261,10
3661,9
2307,9
3561,9
2814,9
842,9
237,9
3150,9
787,9
1978,9
3602,9
3454,9
2113,9
306,9
1474,9
1209,9
195,9
2370,9
1130,9
3129,9
2612,9
1361,9
2035,9
2976,9
2569,9
1542,9
1032,9
2372,9
3413,8
3054,8
3277,8
244,8
1235,8
104,8
1975,8
1898,8
1688,8
2560,8
1985,8
2885,8
1913,8
454,8
242,8
1710,8
3572,8
2088,8
3712,8
635,8
3798,8
410,8
1797,8
1517,8
2013,8
3343,8
60,8
3352,8
498,8
3477,8
3480,8
3227,8
3315,8
883,8
1433,8
735,8
2072,8
2833,8
549,8
3817,8
2110,7
2074,7
150,7
1767,7
2767,7
3188,7
2830,7
1931,7
3120,7
1222,7
2604,7
2988,7
3452,7
2161,7
3191,7
3062,7
3240,7
1040,7
2174,7
2273,7
1005,7
2425,7
1396,7
848,7
3083,7
1339,7
586,7
3486,7
2241,7
1680,7
2051,7
402,7
3674,7
2919,7
3136,7
3376,7
825,7
3322,7
990,7
1025,7
1117,7
1282,7
2549,6
708,6
2665,6
941,6
3720,6
3026,6
3447,6
3017,6
3758,6
2561,6
3108,6
134,6
3103,6
2568,6
2607,6
2567,6
552,6
2491,6
1300,6
680,6
3702,6
2626,6
3382,6
3051,6
3652,6
3414,6
1899,6
846,6
409,6
3664,6
3824,6
1781,6
36,6
2808,6
264,6
2297,6
538,6
3326,6
2827,6
619,6
2953,6
2925,6
2304,6
2543,6
1249,6
536,6
1151,6
426,6
2846,6
2260,6
1464,6
3516,6
367,6
2764,6
919,6
2760,6
1827,6
556,6
2450,6
1553,6
2633,6
3490,6
2981,6
2965,6
302,6
1543,6
292,6
1470,6
3694,5
2029,5
575,5
1956,5
2098,5
3672,5
117,5
2640,5
1247,5
2680,5
2697,5
2944,5
537,5
2296,5
3522,5
872,5
1535,5
1192,5
1516,5
3338,5
1202,5
1213,5
1458,5
933,5
934,5
508,5
3461,5
322,5
333,5
3356,5
3059,5
3391,5
1320,5
385,5
836,5
813,5
3262,5
2526,5
1903,5
1156,5
2752,5
1881,5
163,5
3714,5
3725,5
203,5
3604,5
1773,5
2819,5
232,5
233,5
2848,5
2387,5
790,5
2538,5
3574,5
1714,5
1712,5
3569,5
2891,5
2527,5
1120,5
2080,4
580,4
2091,4
2100,4
90,4
2529,4
2209,4
2222,4
2452,4
2289,4
2305,4
2322,4
2328,4
2334,4
31,4
30,4
2208,4
1465,4
1186,4
3185,4
1271,4
823,4
806,4
1301,4
1303,4
789,4
342,4
1331,4
1346,4
3807,4
3056,4
3050,4
335,4
327,4
3041,4
782,4
557,4
1489,4
3016,4
824,4
346,4
3603,4
3731,4
1002,4
3398,4
3771,4
3393,4
1043,4
853,4
1050,4
380,4
3526,4
3350,4
1094,4
3321,4
364,4
1152,4
3530,4
3231,4
3532,4
3187,4
3186,4
3727,4
1485,4
3000,4
634,4
3646,4
2999,4
164,4
2758,4
2729,4
648,4
1904,4
1905,4
3675,4
2690,4
2779,4
1925,4
3701,4
132,4
2669,4
1955,4
2660,4
591,4
118,4
2614,4
3716,4
191,4
228,4
466,4
1558,4
291,4
277,4
1609,4
2952,4
245,4
1687,4
2896,4
3442,4
1716,4
1744,4
1788,4
564,4
728,4
1785,4
2849,4
2386,3
3728,3
3514,3
2379,3
3485,3
3666,3
2404,3
2368,3
3563,3
3755,3
2411,3
3614,3
2583,3
3448,3
2423,3
3015,3
3001,3
2897,3
2884,3
2787,3
2548,3
2762,3
2761,3
2711,3
2707,3
2704,3
2564,3
2684,3
2653,3
2618,3
3040,3
3067,3
2489,3
3232,3
3766,3
2424,3
3775,3
2439,3
2444,3
3778,3
3202,3
3099,3
2471,3
3168,3
3804,3
2609,3
2486,3
3128,3
3147,3
3836,3
1657,3
918,3
1003,3
1316,3
2151,3
1004,3
1030,3
1627,3
420,3
880,3
1299,3
706,3
707,3
878,3
1910,3
1638,3
412,3
2177,3
712,3
406,3
405,3
753,3
1082,3
914,3
2146,3
1246,3
1610,3
544,3
1529,3
2041,3
1472,3
2008,3
2043,3
593,3
968,3
1429,3
613,3
615,3
616,3
2075,3
930,3
923,3
1358,3
1960,3
1957,3
1537,3
2119,3
1323,3
1253,3
954,3
1227,3
2331,3
830,3
1097,3
361,3
792,3
1169,3
1711,3
2264,3
1190,3
1096,3
377,3
1729,3
1791,3
2319,3
2282,3
2318,3
2272,3
2306,3
1888,3
781,3
802,3
812,3
754,3
814,3
169,3
1127,3
1764,3
1886,3
929,2
921,2
1559,2
2975,2
1551,2
3521,2
2832,2
