route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route,fare,reduced_fare
48,2427,1,24/27,Wakefield Avenue & Truman Parkway - Mattapan Station,Local Bus,3,,FFC72C,0,50241,Local Bus,line-242733,1.0,1.7,0.85
49,26,1,26,Ashmont Station - Norfolk Street Loop,Local Bus,3,https://www.mbta.com/schedules/26,FFC72C,0,50260,Local Bus,line-26,,1.7,0.85
50,27,1,27,Mattapan Station - Ashmont Station,Local Bus,3,https://www.mbta.com/schedules/27,FFC72C,0,50270,Local Bus,line-242733,,1.7,0.85
51,28,1,28,Mattapan Station - Ruggles Station,Key Bus,3,https://www.mbta.com/schedules/28,FFC72C,0,50280,Local Bus,line-28,,1.7,0.85
52,29,1,29,Mattapan Station - Jackson Square Station,Local Bus,3,https://www.mbta.com/schedules/29,FFC72C,0,50290,Local Bus,line-29,,1.7,0.85
53,30,1,30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,Local Bus,3,https://www.mbta.com/schedules/30,FFC72C,0,50300,Local Bus,line-30,,1.7,0.85
54,31,1,31,Mattapan Station - Forest Hills Station via Morton Street,Local Bus,3,https://www.mbta.com/schedules/31,FFC72C,0,50310,Local Bus,line-31,,1.7,0.85
55,32,1,32,Wolcott or Cleary Square - Forest Hills Station,Key Bus,3,https://www.mbta.com/schedules/32,FFC72C,0,50320,Local Bus,line-32,,1.7,0.85
56,3233,1,32/33,River Street & Milton Street - Mattapan Station,Supplemental Bus,3,,FFC72C,0,50321,Local Bus,line-242733,1.0,1.7,0.85
57,33,1,33,River Street & Milton Street - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/33,FFC72C,0,50330,Local Bus,line-242733,,1.7,0.85
58,34,1,34,Dedham Mall or Dedham Line - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/34,FFC72C,0,50340,Local Bus,line-3434E,,1.7,0.85
59,34E,1,34E,Walpole Center - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/34E,FFC72C,0,50341,Local Bus,line-3434E,,1.7,0.85
60,35,1,35,Dedham Mall or Stimson Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/35,FFC72C,0,50350,Local Bus,line-35,,1.7,0.85
61,36,1,36,Millennium Park or VA Hospital - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/36,FFC72C,0,50360,Local Bus,line-36,,1.7,0.85
62,37,1,37,Baker Street & Vermont Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/37,FFC72C,0,50370,Local Bus,line-37,,1.7,0.85
63,38,1,38,Wren Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/38,FFC72C,0,50380,Local Bus,line-38,,1.7,0.85
64,39,1,39,Forest Hills Station - Back Bay Station,Key Bus,3,https://www.mbta.com/schedules/39,FFC72C,0,50390,Local Bus,line-39,,1.7,0.85
65,40,1,40,Georgetowne - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/40,FFC72C,0,50400,Local Bus,line-4050,,1.7,0.85
66,4050,1,40/50,Georgetowne - Forest Hills Station,Local Bus,3,,FFC72C,0,50401,Local Bus,line-4050,1.0,1.7,0.85
67,41,1,41,Centre Street & Eliot Street - JFK/UMass Station,Local Bus,3,https://www.mbta.com/schedules/41,FFC72C,0,50410,Local Bus,line-41,,1.7,0.85
68,42,1,42,Forest Hills Station - Nubian Station,Local Bus,3,https://www.mbta.com/schedules/42,FFC72C,0,50420,Local Bus,line-42,,1.7,0.85
69,43,1,43,Ruggles  Station - Park Street Station,Local Bus,3,https://www.mbta.com/schedules/43,FFC72C,0,50430,Local Bus,line-43,,1.7,0.85
70,44,1,44,Jackson Square Station - Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/44,FFC72C,0,50440,Local Bus,line-44,,1.7,0.85
71,45,1,45,Franklin Park - Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/45,FFC72C,0,50450,Local Bus,line-45,,1.7,0.85
72,47,1,47,"Central Square, Cambridge - Broadway Station",Local Bus,3,https://www.mbta.com/schedules/47,FFC72C,0,50470,Local Bus,line-47,,1.7,0.85
73,50,1,50,Cleary Square - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/50,FFC72C,0,50500,Local Bus,line-4050,,1.7,0.85
74,51,1,51,Reservoir Station - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/51,FFC72C,0,50510,Local Bus,line-51,,1.7,0.85
75,52,1,52,Dedham Mall - Watertown Yard,Local Bus,3,https://www.mbta.com/schedules/52,FFC72C,0,50520,Local Bus,line-5259,,1.7,0.85
76,55,1,55,Jersey Street & Queensberry Street - Copley Station,Local Bus,3,https://www.mbta.com/schedules/55,FFC72C,0,50550,Local Bus,line-55,,1.7,0.85
77,57,1,57,Watertown Yard - Kenmore Station,Key Bus,3,https://www.mbta.com/schedules/57,FFC72C,0,50570,Local Bus,line-5757A,,1.7,0.85
78,57A,1,57A,Oak Square - Kenmore Station,Local Bus,3,https://www.mbta.com/schedules/57A,FFC72C,0,50571,Local Bus,line-5757A,,1.7,0.85
79,59,1,59,Needham Junction - Watertown Square,Local Bus,3,https://www.mbta.com/schedules/59,FFC72C,0,50590,Local Bus,line-5259,,1.7,0.85
80,60,1,60,Chestnut Hill - Kenmore Station,Local Bus,3,https://www.mbta.com/schedules/60,FFC72C,0,50600,Local Bus,line-6065,,1.7,0.85
81,61,1,61,North Waltham - Waltham Center,Local Bus,3,https://www.mbta.com/schedules/61,FFC72C,0,50610,Local Bus,line-6170170,,1.7,0.85
82,62,1,62,Bedford VA Hospital - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/62,FFC72C,0,50620,Local Bus,line-6276,,1.7,0.85
83,627,1,62/76,Bedford VA Hospital - Alewife Station via Hanscom Airport,Local Bus,3,,FFC72C,0,50621,Local Bus,line-6276,1.0,1.7,0.85
84,64,1,64,Oak Square - University Park or Kendall/MIT Station,Local Bus,3,https://www.mbta.com/schedules/64,FFC72C,0,50640,Local Bus,line-6468,,1.7,0.85
85,65,1,65,Brighton Center - Kenmore Station,Local Bus,3,https://www.mbta.com/schedules/65,FFC72C,0,50650,Local Bus,line-6065,,1.7,0.85
86,66,1,66,Harvard Square - Nubian Station,Key Bus,3,https://www.mbta.com/schedules/66,FFC72C,0,50660,Local Bus,line-66,,1.7,0.85
87,67,1,67,Turkey Hill - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/67,FFC72C,0,50670,Local Bus,line-6779,,1.7,0.85
88,68,1,68,Harvard Square - Kendall/MIT Station,Local Bus,3,https://www.mbta.com/schedules/68,FFC72C,0,50680,Local Bus,line-6468,,1.7,0.85
