Date,AAPL,FB,NVDA,MSFT,JNJ,TSLA
2019-08-14,49.69620132446289,179.7100067138672,149.60845947265625,132.12594604492188,125.00323486328125,43.92399978637695
2019-08-15,49.44864273071289,182.58999633789062,148.31243896484375,131.83009338378906,125.27194213867188,43.12799835205078
2019-08-16,50.6153678894043,183.6999969482422,159.06927490234375,134.2462158203125,126.05885314941406,43.987998962402344
2019-08-19,51.55904769897461,186.1699981689453,170.25474548339844,136.49465942382812,126.9129409790039,45.36600112915039
2019-08-20,51.561500549316406,183.80999755859375,167.3536834716797,135.36056518554688,125.32954406738281,45.172000885009766
2019-08-21,52.12034606933594,183.5500030517578,170.703369140625,136.869384765625,126.22200012207031,44.16600036621094
2019-08-22,52.07622528076172,182.0399932861328,170.9525909423828,135.8733673095703,125.97248840332031,44.43000030517578
2019-08-23,49.66923904418945,177.75,161.94041442871094,131.5441131591797,122.57535552978516,42.279998779296875
2019-08-26,50.6129150390625,180.36000061035156,164.94113159179688,133.57562255859375,123.56153869628906,43.0
2019-08-27,50.041805267333984,181.3000030517578,161.30238342285156,133.86158752441406,125.34049987792969,42.816001892089844
2019-08-28,50.37761306762695,181.75999450683594,160.8832550048828,133.68408203125,124.4123306274414,43.11800003051758
2019-08-29,51.2305908203125,185.57000732421875,166.65118408203125,136.2086639404297,123.98694610595703,44.34199905395508
2019-08-30,51.1644172668457,185.6699981689453,167.1601104736328,135.9522705078125,124.10295867919922,45.12200164794922
2019-09-03,50.419273376464844,182.38999938964844,163.8270721435547,134.15745544433594,124.47035217285156,45.00199890136719
2019-09-04,51.274715423583984,187.13999938964844,168.40748596191406,135.72544860839844,124.58637237548828,44.13600158691406
2019-09-05,52.277217864990234,190.89999389648438,179.3645782470703,138.11196899414062,124.31565856933594,45.91600036621094
2019-09-06,52.272315979003906,187.49000549316406,178.27684020996094,137.17510986328125,123.95793914794922,45.4900016784668
2019-09-09,52.495365142822266,188.75999450683594,180.12298583984375,135.61697387695312,122.73970794677734,46.358001708984375
2019-09-10,53.11549377441406,186.1699981689453,182.79737854003906,134.1968994140625,125.25348663330078,47.108001708984375
2019-09-11,54.8043098449707,188.49000549316406,183.9449920654297,134.236328125,126.81975555419922,49.41999816894531
2019-09-12,54.68175506591797,187.47000122070312,183.88511657714844,135.61697387695312,126.10428619384766,49.17399978637695
2019-09-13,53.61797332763672,187.19000244140625,181.5599822998047,135.41973876953125,126.44270324707031,49.040000915527344
