GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWME001
"G25000100120021","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012002","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 120.02, Barnstable County, Massachusetts",,,1323
"G25000100120022","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012002","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 120.02, Barnstable County, Massachusetts",,,778
"G25000100120023","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012002","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 120.02, Barnstable County, Massachusetts",,,715
"G25000100121011","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012101","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 121.01, Barnstable County, Massachusetts",,,1830
"G25000100121012","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012101","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 121.01, Barnstable County, Massachusetts",,,845
"G25000100121013","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012101","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 121.01, Barnstable County, Massachusetts",,,1182
"G25000100121014","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012101","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 121.01, Barnstable County, Massachusetts",,,818
"G25000100121015","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012101","5",,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 121.01, Barnstable County, Massachusetts",,,759
"G25000100121021","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012102","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 121.02, Barnstable County, Massachusetts",,,743
"G25000100121022","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"012102","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 121.02, Barnstable County, Massachusetts",,,824
